"","from","to","alpha","lo","hi","lo_numerical","hi_numerical","Fit"
"106","Non-euc Suppressed","Eucalyptus regnans Dominant",0.0561909550858538,-0.113416524967921,0.225798435139628,0.0525654543276469,0.0598164558440606,"Lardner"
"136","Eucalyptus regnans Intermediate","Eucalyptus regnans Intermediate",-0.0812536373739243,-0.694485343746786,0.531978068998938,-0.0880754697283075,-0.0744318050195411,"Lardner"
"146","Eucalyptus regnans Suppressed","Eucalyptus regnans Intermediate",-0.0168999250023806,-0.839685458946514,0.805885608941752,-0.0297462117214504,-0.00405363828331068,"Lardner"
"156","Non-euc Suppressed","Eucalyptus regnans Intermediate",0.0270895325943623,-0.13656765247669,0.190746717665415,0.0228461769164127,0.0313328882723119,"Lardner"
"196","Eucalyptus regnans Suppressed","Eucalyptus regnans Suppressed",-3.00870141315909,-8.51696007802353,2.49955725170536,-3.09168276298974,-2.92572006332843,"Lardner"
"206","Non-euc Suppressed","Eucalyptus regnans Suppressed",0.343814075633432,-0.0988963881465575,0.786524539413422,0.333395106399443,0.354233044867421,"Lardner"
"256","Non-euc Suppressed","Non-euc Suppressed",-0.207293106939678,-0.394465603493923,-0.0201206103854332,-0.224993960963469,-0.189592252915887,"Lardner"
"111","Eucalyptus regnans Co-dominant","Eucalyptus regnans Co-dominant",-0.318401782483983,-0.847699645851224,0.210896080883258,-0.324906129926679,-0.311897435041288,"Turtons"
"28","Eucalyptus regnans Dominant","Eucalyptus regnans Co-dominant",0.0118570019473523,-0.555424793284066,0.57913879717877,0.00482292967507273,0.0188910742196318,"Turtons"
"37","Eucalyptus regnans Intermediate","Eucalyptus regnans Co-dominant",-0.131064111651821,-0.752887698481646,0.490759475178004,-0.137591711581316,-0.124536511722326,"Turtons"
"47","Eucalyptus regnans Suppressed","Eucalyptus regnans Co-dominant",-0.12621912897684,-0.872045743554907,0.619607485601226,-0.134857278369897,-0.117580979583784,"Turtons"
"57","Non-euc Suppressed","Eucalyptus regnans Co-dominant",0.0164461206644779,-0.0826205261861271,0.115512767515083,0.0137045260972163,0.0191877152317394,"Turtons"
"77","Eucalyptus regnans Dominant","Eucalyptus regnans Dominant",-1.55987194421358,-3.29578865673374,0.176044768306579,-1.58936096488493,-1.53038292354223,"Turtons"
"87","Eucalyptus regnans Intermediate","Eucalyptus regnans Dominant",-0.148768834841085,-1.14009120116232,0.842553531480153,-0.159099381250612,-0.138438288431558,"Turtons"
"97","Eucalyptus regnans Suppressed","Eucalyptus regnans Dominant",0.694511322319728,-0.313932988270821,1.70295563291028,0.678667930525969,0.710354714113488,"Turtons"
"107","Non-euc Suppressed","Eucalyptus regnans Dominant",0.133272628240392,-0.0435122027694617,0.310057459250245,0.128431015831472,0.138114240649311,"Turtons"
"137","Eucalyptus regnans Intermediate","Eucalyptus regnans Intermediate",-0.880673311204127,-1.92386533672464,0.162518714316386,-0.886640472486379,-0.874706149921876,"Turtons"
"147","Eucalyptus regnans Suppressed","Eucalyptus regnans Intermediate",0.187736857113908,-1.12071150634858,1.4961852205764,0.177602623788064,0.197871090439753,"Turtons"
"157","Non-euc Suppressed","Eucalyptus regnans Intermediate",0.0156735996422496,-0.123071734567236,0.154418933851735,0.0126188366981367,0.0187283625863624,"Turtons"
"197","Eucalyptus regnans Suppressed","Eucalyptus regnans Suppressed",-0.305931718776593,-2.7156828180265,2.10381938047332,-0.325695873961018,-0.286167563592167,"Turtons"
"207","Non-euc Suppressed","Eucalyptus regnans Suppressed",-0.0433057431697422,-0.280640694111475,0.194029207771991,-0.0495742767716259,-0.0370372095678585,"Turtons"
"257","Non-euc Suppressed","Non-euc Suppressed",0.158318986381632,0.0465000936531303,0.270137879110134,0.144565303386996,0.172072669376268,"Turtons"
"112","Eucalyptus Co-dominant","Eucalyptus Co-dominant",0.100809535244245,-0.0749436751538479,0.276562745642338,0.0938414817472702,0.10777758874122,"NorthStyx"
"29","Eucalyptus Dominant","Eucalyptus Co-dominant",0.0943215162825888,-0.12867348276688,0.317316515332057,0.0897479425612752,0.0988950900039023,"NorthStyx"
"38","Eucalyptus Intermediate","Eucalyptus Co-dominant",0.0837316432629983,-0.0456562877718297,0.213119574297826,0.0792983986305048,0.0881648878954918,"NorthStyx"
"48","Eucalyptus Suppressed","Eucalyptus Co-dominant",0.0558395434716556,-0.0332546115957491,0.14493369853906,0.0524176863730196,0.0592614005702915,"NorthStyx"
"58","Non-euc Suppressed","Eucalyptus Co-dominant",-0.0476429789181918,-0.128376939501271,0.0330909816648879,-0.0512180328320522,-0.0440679250043314,"NorthStyx"
"78","Eucalyptus Dominant","Eucalyptus Dominant",-0.744155649009838,-1.67440150077506,0.186090202755386,-0.756704377524522,-0.731606920495154,"NorthStyx"
"88","Eucalyptus Intermediate","Eucalyptus Dominant",-0.149707718360446,-0.499152576004333,0.199737139283442,-0.156053760125462,-0.143361676595429,"NorthStyx"
"98","Eucalyptus Suppressed","Eucalyptus Dominant",0.0745361550531952,-0.0957967462163089,0.244869056322699,0.0704587430689846,0.0786135670374058,"NorthStyx"
"108","Non-euc Suppressed","Eucalyptus Dominant",-0.0962545848572433,-0.257438205857767,0.0649290361432809,-0.100431304406995,-0.0920778653074917,"NorthStyx"
"138","Eucalyptus Intermediate","Eucalyptus Intermediate",0.294943936590216,0.0680855520793703,0.521802321101062,0.284945612496099,0.304942260684332,"NorthStyx"
"148","Eucalyptus Suppressed","Eucalyptus Intermediate",0.0930690591682989,-0.0143197313140744,0.200457849650672,0.0877542752821349,0.098383843054463,"NorthStyx"
"158","Non-euc Suppressed","Eucalyptus Intermediate",-0.0132435880788736,-0.114553695325711,0.0880665191679638,-0.0183413402476031,-0.00814583591014403,"NorthStyx"
"198","Eucalyptus Suppressed","Eucalyptus Suppressed",0.25576625545013,0.135727124747243,0.375805386153016,0.247207610657234,0.264324900243025,"NorthStyx"
"208","Non-euc Suppressed","Eucalyptus Suppressed",0.0969302348190512,0.0282051664621902,0.165655303175912,0.0924208432957024,0.1014396263424,"NorthStyx"
"258","Non-euc Suppressed","Non-euc Suppressed",0.312311689998886,0.191168590525427,0.433454789472345,0.302529041415782,0.32209433858199,"NorthStyx"
"113","Eucalyptus Co-dominant","Eucalyptus Co-dominant",0.154708226353774,-0.0800812943096409,0.389497747017189,0.146926893452296,0.162489559255252,"Weld"
"210","Eucalyptus Dominant","Eucalyptus Co-dominant",0.0938794572185867,-0.511964327426541,0.699723241863715,0.0832963689257481,0.104462545511425,"Weld"
"39","Eucalyptus Intermediate","Eucalyptus Co-dominant",0.125176461406765,-0.289132795603582,0.539485718417112,0.11672298341913,0.1336299393944,"Weld"
"410","Eucalyptus Suppressed","Eucalyptus Co-dominant",0.326663359598191,0.0803626143911612,0.572964104805221,0.319016531247393,0.33431018794899,"Weld"
"59","Non-euc Co-dominant","Eucalyptus Co-dominant",-0.071903202818773,-0.308268867337738,0.164462461700192,-0.077323625225908,-0.0664827804116381,"Weld"
"6","Non-euc Intermediate","Eucalyptus Co-dominant",0.179768252377396,-0.333769547108726,0.693306051863518,0.172106240052456,0.187430264702335,"Weld"
"79","Non-euc Suppressed","Eucalyptus Co-dominant",0.203155179391474,0.0569731562143154,0.349337202568633,0.198301402801377,0.208008955981571,"Weld"
"99","Eucalyptus Dominant","Eucalyptus Dominant",-3.56888418335763,-9.9620810626869,2.82431269597163,-3.61457369300903,-3.52319467370623,"Weld"
"109","Eucalyptus Intermediate","Eucalyptus Dominant",-1.50744433726591,-3.44477253987765,0.42988386534583,-1.53930055534094,-1.47558811919088,"Weld"
"114","Eucalyptus Suppressed","Eucalyptus Dominant",0.303369260855753,-0.372341549860648,0.979080071572153,0.292403686718339,0.314334834993166,"Weld"
"121","Non-euc Co-dominant","Eucalyptus Dominant",-0.493879949997484,-1.3997872292059,0.412027329210931,-0.513625885223828,-0.474134014771139,"Weld"
"139","Non-euc Intermediate","Eucalyptus Dominant",0.318544580995877,-1.69287158507993,2.32996074707169,0.302424201134196,0.334664960857558,"Weld"
"149","Non-euc Suppressed","Eucalyptus Dominant",0.312143399808001,-0.0917958664240685,0.71608266604007,0.300003787489574,0.324283012126428,"Weld"
"171","Eucalyptus Intermediate","Eucalyptus Intermediate",-0.323622754777311,-1.72338529405174,1.07613978449712,-0.34487864298409,-0.302366866570532,"Weld"
"181","Eucalyptus Suppressed","Eucalyptus Intermediate",0.194439497911457,-0.299742911642897,0.688621907465811,0.18591259553279,0.202966400290124,"Weld"
"199","Non-euc Co-dominant","Eucalyptus Intermediate",-1.76583341396133,-4.31898481815522,0.787317990232563,-1.80546741630397,-1.72619941161869,"Weld"
"209","Non-euc Intermediate","Eucalyptus Intermediate",0.211581882973555,-0.87807995540855,1.30124372135566,0.200500714631275,0.222663051315836,"Weld"
"211","Non-euc Suppressed","Eucalyptus Intermediate",0.260173767569331,-0.132880036971309,0.653227572109972,0.251294115504819,0.269053419633844,"Weld"
"259","Eucalyptus Suppressed","Eucalyptus Suppressed",0.0613553309148797,-0.307042513961275,0.429753175791034,0.0525420455894454,0.0701686162403139,"Weld"
"261","Non-euc Co-dominant","Eucalyptus Suppressed",-0.0415016288840597,-0.41103049617497,0.328027238406851,-0.0483635596075418,-0.0346396981605776,"Weld"
"271","Non-euc Intermediate","Eucalyptus Suppressed",-0.390826981667926,-1.0061888389013,0.224534875565445,-0.398536826711725,-0.383117136624126,"Weld"
"281","Non-euc Suppressed","Eucalyptus Suppressed",-0.229077354685991,-0.40405700159199,-0.0540977077799923,-0.233369531885055,-0.224785177486927,"Weld"
"331","Non-euc Co-dominant","Non-euc Co-dominant",0.377165018251383,0.185812294447163,0.568517742055602,0.364110871593514,0.390219164909251,"Weld"
"341","Non-euc Intermediate","Non-euc Co-dominant",-0.199913061822939,-0.904742645067497,0.504916521421618,-0.208654863371884,-0.191171260273994,"Weld"
"351","Non-euc Suppressed","Non-euc Co-dominant",0.0878851139239649,-0.0246749926941539,0.200445220542084,0.0834281631416943,0.0923420647062356,"Weld"
"411","Non-euc Intermediate","Non-euc Intermediate",-0.734387489434854,-2.16376698487112,0.694992006001415,-0.74665379601678,-0.722121182852928,"Weld"
"421","Non-euc Suppressed","Non-euc Intermediate",-0.114815109470679,-0.465315233198465,0.235685014257106,-0.120767050135032,-0.108863168806326,"Weld"
"49","Non-euc Suppressed","Non-euc Suppressed",0.12157524013175,-0.0547729100757246,0.297923390339224,0.112201909223323,0.130948571040176,"Weld"
