"","from","to","alpha","lo","hi","lo_numerical","hi_numerical","Potential","site","range_ci","class_from","class_to","species_from","species_to","class_int","georegion","region","sig","cc_to","cc_from","cc_int"
"41","Eucalyptus diversicolor small","Eucalyptus diversicolor large",-0.062214921549918,-0.169598499131091,0.0451686560312554,-0.0648074533753679,-0.059622389724468,"Potential 1","Sutton",0.214767155162347,"small","large","Eucalyptus diversicolor","Eucalyptus diversicolor","small_large","N_WA","WA",NA,"Canopy","Canopy","Canopy_Canopy"
"42","Eucalyptus diversicolor small","Eucalyptus diversicolor small",-0.00263036258503723,-0.212246305649837,0.206985580479763,-0.0103890811837165,0.00512835601364203,"Potential 1","Sutton",0.4192318861296,"small","small","Eucalyptus diversicolor","Eucalyptus diversicolor","small_small","N_WA","WA",NA,"Canopy","Canopy","Canopy_Canopy"
"43","Allocasuarina decussata large","Allocasuarina decussata large",-0.15088380944497,-0.526011836582673,0.224244217692734,-0.158299260749362,-0.143468358140577,"Potential 1","Giants",0.750256054275407,"large","large","Allocasuarina decussata","Allocasuarina decussata","large_large","S_WA","WA",NA,"Subcanopy","Subcanopy","Subcanopy_Subcanopy"
"44","Allocasuarina decussata small","Allocasuarina decussata large",-0.0184508247233585,-0.131268414663701,0.0943667652169838,-0.0207333175681337,-0.0161683318785833,"Potential 1","Giants",0.225635179880684,"small","large","Allocasuarina decussata","Allocasuarina decussata","small_large","S_WA","WA",NA,"Subcanopy","Subcanopy","Subcanopy_Subcanopy"
"45","Eucalyptus jacksonii large","Allocasuarina decussata large",-0.276768585795101,-0.551751777146454,-0.00178539444374759,-0.283179042949248,-0.270358128640953,"Potential 1","Giants",0.549966382702706,"large","large","Eucalyptus jacksonii","Allocasuarina decussata","large_large","S_WA","WA","1","Subcanopy","Canopy","Canopy_Subcanopy"
"46","Eucalyptus jacksonii small","Allocasuarina decussata large",-0.00977275227647152,-0.185095252902161,0.165549748349218,-0.0143230065567522,-0.00522249799619082,"Potential 1","Giants",0.350645001251379,"small","large","Eucalyptus jacksonii","Allocasuarina decussata","small_large","S_WA","WA",NA,"Subcanopy","Canopy","Canopy_Subcanopy"
"47","Allocasuarina decussata small","Allocasuarina decussata small",0.330189558794694,0.193774566645356,0.466604550944033,0.32379621088752,0.336582906701869,"Potential 1","Giants",0.272829984298677,"small","small","Allocasuarina decussata","Allocasuarina decussata","small_small","S_WA","WA","1","Subcanopy","Subcanopy","Subcanopy_Subcanopy"
"48","Eucalyptus jacksonii large","Allocasuarina decussata small",-0.0186076034637449,-0.189178837476027,0.151963630548537,-0.0214622995314784,-0.0157529073960113,"Potential 1","Giants",0.341142468024564,"large","small","Eucalyptus jacksonii","Allocasuarina decussata","large_small","S_WA","WA",NA,"Subcanopy","Canopy","Canopy_Subcanopy"
"49","Eucalyptus jacksonii small","Allocasuarina decussata small",-0.0282816199034824,-0.126025839611757,0.0694625998047919,-0.0303993008348296,-0.0261639389721352,"Potential 1","Giants",0.195488439416549,"small","small","Eucalyptus jacksonii","Allocasuarina decussata","small_small","S_WA","WA",NA,"Subcanopy","Canopy","Canopy_Subcanopy"
"50","Eucalyptus jacksonii large","Eucalyptus jacksonii large",-0.510112714908507,-0.992070947260031,-0.0281544825569832,-0.531539069107576,-0.488686360709438,"Potential 1","Giants",0.963916464703048,"large","large","Eucalyptus jacksonii","Eucalyptus jacksonii","large_large","S_WA","WA","1","Canopy","Canopy","Canopy_Canopy"
"51","Eucalyptus jacksonii small","Eucalyptus jacksonii large",0.369735491853656,0.103908204802995,0.635562778904317,0.356697789117506,0.382773194589806,"Potential 1","Giants",0.531654574101322,"small","large","Eucalyptus jacksonii","Eucalyptus jacksonii","small_large","S_WA","WA","1","Canopy","Canopy","Canopy_Canopy"
"52","Eucalyptus jacksonii small","Eucalyptus jacksonii small",0.336920034639311,0.17351232746472,0.500327741813902,0.326010387521392,0.347829681757231,"Potential 1","Giants",0.326815414349182,"small","small","Eucalyptus jacksonii","Eucalyptus jacksonii","small_small","S_WA","WA","1","Canopy","Canopy","Canopy_Canopy"
"53","Eucalyptus diversicolor large","Eucalyptus diversicolor large",-0.14226677663388,-0.382693578091368,0.098160024823608,-0.148008436863298,-0.136525116404462,"Potential 1","Warren",0.480853602914976,"large","large","Eucalyptus diversicolor","Eucalyptus diversicolor","large_large","N_WA","WA",NA,"Canopy","Canopy","Canopy_Canopy"
"54","Eucalyptus diversicolor small","Eucalyptus diversicolor large",-0.234357162612474,-0.377219250596634,-0.0914950746283131,-0.237791921985512,-0.230922403239435,"Potential 1","Warren",0.285724175968321,"small","large","Eucalyptus diversicolor","Eucalyptus diversicolor","small_large","N_WA","WA","1","Canopy","Canopy","Canopy_Canopy"
"55","Trymalium odoratissimum small","Eucalyptus diversicolor large",-0.0431746925735143,-0.145165436916786,0.0588160517697574,-0.04625756992948,-0.0400918152175486,"Potential 1","Warren",0.203981488686544,"small","large","Trymalium odoratissimum","Eucalyptus diversicolor","small_large","N_WA","WA",NA,"Canopy","Subcanopy","Subcanopy_Canopy"
"56","Eucalyptus diversicolor small","Eucalyptus diversicolor small",0.0347580175867454,-0.210526613053881,0.280042648227372,0.02766681589703,0.0418492192764607,"Potential 1","Warren",0.490569261281253,"small","small","Eucalyptus diversicolor","Eucalyptus diversicolor","small_small","N_WA","WA",NA,"Canopy","Canopy","Canopy_Canopy"
"57","Trymalium odoratissimum small","Eucalyptus diversicolor small",-0.0878291202228584,-0.201733426781785,0.0260751863360686,-0.0909336173436076,-0.0847246231021092,"Potential 1","Warren",0.227808613117854,"small","small","Trymalium odoratissimum","Eucalyptus diversicolor","small_small","N_WA","WA",NA,"Canopy","Subcanopy","Subcanopy_Canopy"
"58","Trymalium odoratissimum small","Trymalium odoratissimum small",0.367448954652489,0.223760251771481,0.511137657533497,0.358295511681829,0.376602397623149,"Potential 1","Warren",0.287377405762015,"small","small","Trymalium odoratissimum","Trymalium odoratissimum","small_small","N_WA","WA","1","Subcanopy","Subcanopy","Subcanopy_Subcanopy"
"59","Allocasuarina decussata large","Allocasuarina decussata large",0.208881848656336,-0.162398647604005,0.580162344916677,0.199597042334763,0.218166654977909,"Potential 1","Dawson",0.742560992520683,"large","large","Allocasuarina decussata","Allocasuarina decussata","large_large","S_WA","WA",NA,"Subcanopy","Subcanopy","Subcanopy_Subcanopy"
"60","Allocasuarina decussata small","Allocasuarina decussata large",0.0795964647898279,-0.151237878189867,0.310430807769523,0.0752799955053124,0.0839129340743434,"Potential 1","Dawson",0.46166868595939,"small","large","Allocasuarina decussata","Allocasuarina decussata","small_large","S_WA","WA",NA,"Subcanopy","Subcanopy","Subcanopy_Subcanopy"
"61","Eucalyptus diversicolor large","Allocasuarina decussata large",-0.16894558793436,-0.450508624147964,0.112617448279243,-0.172109259062309,-0.165781916806411,"Potential 1","Dawson",0.563126072427207,"large","large","Eucalyptus diversicolor","Allocasuarina decussata","large_large","S_WA","WA",NA,"Subcanopy","Canopy","Canopy_Subcanopy"
"62","Eucalyptus diversicolor small","Allocasuarina decussata large",-0.00770213766817773,-0.218065402464173,0.202661127127817,-0.0101544755175409,-0.00524979981881456,"Potential 1","Dawson",0.42072652959199,"small","large","Eucalyptus diversicolor","Allocasuarina decussata","small_large","S_WA","WA",NA,"Subcanopy","Canopy","Canopy_Subcanopy"
"63","Allocasuarina decussata small","Allocasuarina decussata small",0.225804975320915,0.0405996465080637,0.411010304133767,0.218493248738203,0.233116701903628,"Potential 1","Dawson",0.370410657625703,"small","small","Allocasuarina decussata","Allocasuarina decussata","small_small","S_WA","WA","1","Subcanopy","Subcanopy","Subcanopy_Subcanopy"
"64","Eucalyptus diversicolor large","Allocasuarina decussata small",-0.0120625267796347,-0.180979747348865,0.156854693789596,-0.0152084913266773,-0.00891656223259206,"Potential 1","Dawson",0.337834441138461,"large","small","Eucalyptus diversicolor","Allocasuarina decussata","large_small","S_WA","WA",NA,"Subcanopy","Canopy","Canopy_Subcanopy"
"65","Eucalyptus diversicolor small","Allocasuarina decussata small",-0.0283176292909744,-0.162896414612108,0.10626115603016,-0.0309807123106076,-0.0256545462713412,"Potential 1","Dawson",0.269157570642268,"small","small","Eucalyptus diversicolor","Allocasuarina decussata","small_small","S_WA","WA",NA,"Subcanopy","Canopy","Canopy_Subcanopy"
"66","Eucalyptus diversicolor large","Eucalyptus diversicolor large",-0.149353797364909,-0.448605796919561,0.149898202189744,-0.153557667389294,-0.145149927340523,"Potential 1","Dawson",0.598503999109305,"large","large","Eucalyptus diversicolor","Eucalyptus diversicolor","large_large","S_WA","WA",NA,"Canopy","Canopy","Canopy_Canopy"
"67","Eucalyptus diversicolor small","Eucalyptus diversicolor large",0.0632077363727551,-0.118136159506308,0.244551632251818,0.0608322095218876,0.0655832632236227,"Potential 1","Dawson",0.362687791758126,"small","large","Eucalyptus diversicolor","Eucalyptus diversicolor","small_large","S_WA","WA",NA,"Canopy","Canopy","Canopy_Canopy"
"68","Eucalyptus diversicolor small","Eucalyptus diversicolor small",0.178893693156383,-0.00829433713284902,0.366081723445616,0.17444016257546,0.183347223737307,"Potential 1","Dawson",0.374376060578465,"small","small","Eucalyptus diversicolor","Eucalyptus diversicolor","small_small","S_WA","WA",NA,"Canopy","Canopy","Canopy_Canopy"
"69","Eucalyptus diversicolor large","Eucalyptus diversicolor large",-0.979221402710541,-1.94212119059999,-0.0163216148210902,-0.992797572818792,-0.965645232602289,"Potential 1","Carey",1.9257995757789,"large","large","Eucalyptus diversicolor","Eucalyptus diversicolor","large_large","N_WA","WA","1","Canopy","Canopy","Canopy_Canopy"
"70","Eucalyptus diversicolor small","Eucalyptus diversicolor large",0.136479308703291,-0.214500006264949,0.487458623671532,0.133076293357348,0.139882324049234,"Potential 1","Carey",0.701958629936482,"small","large","Eucalyptus diversicolor","Eucalyptus diversicolor","small_large","N_WA","WA",NA,"Canopy","Canopy","Canopy_Canopy"
"71","Trymalium odoratissimum small","Eucalyptus diversicolor large",-0.0186284193290791,-0.342556968569914,0.305300129911755,-0.0224255159294343,-0.0148313227287239,"Potential 1","Carey",0.647857098481669,"small","large","Trymalium odoratissimum","Eucalyptus diversicolor","small_large","N_WA","WA",NA,"Canopy","Subcanopy","Subcanopy_Canopy"
"72","Eucalyptus diversicolor small","Eucalyptus diversicolor small",0.216941771072889,0.0185025629704728,0.415380979175305,0.212877004086531,0.221006538059247,"Potential 1","Carey",0.396878416204832,"small","small","Eucalyptus diversicolor","Eucalyptus diversicolor","small_small","N_WA","WA","1","Canopy","Canopy","Canopy_Canopy"
"73","Trymalium odoratissimum small","Eucalyptus diversicolor small",-0.0727930512493406,-0.200270955790313,0.0546848532916322,-0.0745284540175979,-0.0710576484810833,"Potential 1","Carey",0.254955809081946,"small","small","Trymalium odoratissimum","Eucalyptus diversicolor","small_small","N_WA","WA",NA,"Canopy","Subcanopy","Subcanopy_Canopy"
"74","Trymalium odoratissimum small","Trymalium odoratissimum small",0.21842675361773,0.0377704357559469,0.399083071479512,0.213617872590115,0.223235634645344,"Potential 1","Carey",0.361312635723565,"small","small","Trymalium odoratissimum","Trymalium odoratissimum","small_small","N_WA","WA","1","Subcanopy","Subcanopy","Subcanopy_Subcanopy"
