"","site","from","to","alpha","lo","hi","lo_numerical","hi_numerical","Potential","range_ci","sig","species_from","species_to","size_from","size_to"
"1212","Goodenia","small Non-euc","small Eucalyptus fastigata",-0.0974309215206381,-0.261775085936811,0.0669132428955348,-0.100342964869626,-0.0945188781716501,"Potential 1",0.328688328832346,NA,"Non-euc","Eucalyptus fastigata","small","small"
"166","Goodenia","small Non-euc","small Non-euc",0.194976776429722,-0.0380603116472872,0.428013864506731,0.189135056514468,0.200818496344976,"Potential 1",0.466074176154018,NA,"Non-euc","Non-euc","small","small"
"135","Candelo","large Eucalyptus cypellocarpa","large Eucalyptus cypellocarpa",-1.2266736611506,-3.45429048393724,1.00094316163604,-1.24855725479196,-1.20479006750924,"Potential 1",4.45523364557328,NA,"Eucalyptus cypellocarpa","Eucalyptus cypellocarpa","large","large"
"224","Candelo","large Eucalyptus obliqua","large Eucalyptus cypellocarpa",-0.237432186767783,-0.578316686815702,0.103452313280136,-0.242794824143936,-0.23206954939163,"Potential 1",0.681769000095838,NA,"Eucalyptus obliqua","Eucalyptus cypellocarpa","large","large"
"320","Candelo","small Eucalyptus obliqua","large Eucalyptus cypellocarpa",0.300321849919026,-0.265063238490337,0.86570693832839,0.292300387787836,0.308343312050217,"Potential 1",1.13077017681873,NA,"Eucalyptus obliqua","Eucalyptus cypellocarpa","small","large"
"514","Candelo","large Eucalyptus obliqua","large Eucalyptus obliqua",-0.0935930276357777,-0.330579330536254,0.143393275264698,-0.0995920484040079,-0.0875940068675475,"Potential 1",0.473972605800952,NA,"Eucalyptus obliqua","Eucalyptus obliqua","large","large"
"617","Candelo","small Eucalyptus obliqua","large Eucalyptus obliqua",0.0287475044528888,-0.0939015552361405,0.151396564141918,0.0254827039563345,0.032012304949443,"Potential 1",0.245298119378058,NA,"Eucalyptus obliqua","Eucalyptus obliqua","small","large"
"913","Candelo","small Eucalyptus obliqua","small Eucalyptus obliqua",0.316298898608909,0.196462961002758,0.436134836215061,0.307452172110423,0.325145625107396,"Potential 1",0.239671875212303,1,"Eucalyptus obliqua","Eucalyptus obliqua","small","small"
"136","ANU101","large Eucalyptus regnans","large Eucalyptus regnans",-0.196630001032928,-0.417009721456842,0.0237497193909854,-0.206816193645617,-0.186443808420239,"Potential 1",0.440759440847827,NA,"Eucalyptus regnans","Eucalyptus regnans","large","large"
"225","ANU101","small Eucalyptus regnans","large Eucalyptus regnans",-0.144648712834671,-0.392487060912269,0.103189635242928,-0.149385852857105,-0.139911572812236,"Potential 1",0.495676696155198,NA,"Eucalyptus regnans","Eucalyptus regnans","small","large"
