"","from","to","alpha","mean_effect","quan_0","quan_25","quan_50","quan_75","quan_100","site","class_int","species_from","species_to","which_species","int","group","se","sig","lo","hi","range_ci"
"217","Acacia melanoxylon large","Acacia melanoxylon small",-0.0231575371982622,0.910720541258924,0.829737975833014,0.889934687180677,0.90749634494685,0.932002228194171,0.982216142352256,"Ada Tree","large_small","Acacia melanoxylon","Acacia melanoxylon","within","Acacia melanoxylon large_Acacia melanoxylon small","within_species_large_small",NA,NA,NA,NA,NA
"218","Acacia melanoxylon large","Acacia melanoxylon large",0.0859483731019781,0.510273807402215,0.262667423192792,0.389760110363721,0.506148222972,0.607458857419806,0.889265354941647,"Ada Tree","large_large","Acacia melanoxylon","Acacia melanoxylon","within","Acacia melanoxylon large_Acacia melanoxylon large","within_species_large_large",0.095546133013778,NA,-0.0977398974491263,0.27679406168903,0.374533959138156
"219","Eucalyptus regnans small","Acacia melanoxylon large",0.0883586756074439,1.88942582082705,1.24920443267297,1.68648620580304,1.86915149648815,2.08410181474787,2.77549101814914,"Ada Tree","large_small","Eucalyptus regnans","Acacia melanoxylon","between","Eucalyptus regnans small_Acacia melanoxylon large","between_species_large_small",0.0861349412350646,NA,-0.0809346048804155,0.256708160381986,0.337642765262401
"220","Acacia melanoxylon small","Eucalyptus regnans small",0.0949019876226172,2.11014152280968,1.1901435118493,1.7865149644715,1.9985572415682,2.35314233972909,3.71616282711815,"Ada Tree","small_small","Acacia melanoxylon","Eucalyptus regnans","between","Acacia melanoxylon small_Eucalyptus regnans small","between_species_small_small",NA,NA,NA,NA,NA
"221","Acacia melanoxylon small","Acacia melanoxylon small",0.166176817517695,2.23438471154416,1.31545777217002,1.88056488057102,2.18765286568341,2.50082965031458,4.19278672398857,"Ada Tree","small_small","Acacia melanoxylon","Acacia melanoxylon","within","Acacia melanoxylon small_Acacia melanoxylon small","within_species_small_small",0.0733399080882647,1,0.0311487756460758,0.318635932611029,0.287487156964953
"222","Eucalyptus regnans large","Acacia melanoxylon large",0.199126069923892,3.12081046798927,1.68186686758337,2.64858083283783,3.00904083005556,3.45001043907526,5.52743188574615,"Ada Tree","large_large","Eucalyptus regnans","Acacia melanoxylon","between","Eucalyptus regnans large_Acacia melanoxylon large","between_species_large_large",0.128520486195722,NA,-0.0604798250657691,0.443311223372616,0.503791048438385
"223","Eucalyptus regnans large","Eucalyptus regnans large",-0.476037045902743,0.134217972696637,0.0220101063784793,0.0792382436367781,0.118457224602918,0.166398734575934,0.654842073217533,"Weeaproinah","large_large","Eucalyptus regnans","Eucalyptus regnans","within","Eucalyptus regnans large_Eucalyptus regnans large","within_species_large_large",0.140573250858844,1,-0.759893681754467,-0.208856664008372,0.551037017746095
"224","Acacia melanoxylon large","Acacia melanoxylon large",-0.245868306615154,0.153345563543831,0.0577687678881393,0.103591242877844,0.134729456806576,0.179502057270171,0.625209275033367,"Weeaproinah","large_large","Acacia melanoxylon","Acacia melanoxylon","within","Acacia melanoxylon large_Acacia melanoxylon large","within_species_large_large",0.182841583095707,NA,-0.600345763250371,0.116380072237376,0.716725835487747
"225","Eucalyptus regnans small","Eucalyptus regnans small",-0.204490455569584,0.305900334983508,0.122744351381422,0.21542799397681,0.278317281323614,0.369498792123837,0.745383915041483,"Weeaproinah","small_small","Eucalyptus regnans","Eucalyptus regnans","within","Eucalyptus regnans small_Eucalyptus regnans small","within_species_small_small",0.115946277734933,NA,-0.445495832938839,0.00900522406505405,0.454501057003893
"226","Acacia melanoxylon large","Nematolepis squamea subsp squamea large",-0.174815193867713,0.426736047815484,0.209575111698499,0.340820199605676,0.41461730342757,0.501002864017329,0.803822330095823,"Weeaproinah","large_large","Acacia melanoxylon","Nematolepis squamea","between","Acacia melanoxylon large_Nematolepis squamea subsp squamea large","between_species_large_large",NA,NA,NA,NA,NA
"227","Eucalyptus regnans large","Eucalyptus regnans small",-0.128108557005696,0.493980123680697,0.285279134676815,0.434284377160738,0.499663272628733,0.548636638252205,0.824509437484992,"Weeaproinah","large_small","Eucalyptus regnans","Eucalyptus regnans","within","Eucalyptus regnans large_Eucalyptus regnans small","within_species_large_small",NA,NA,NA,NA,NA
"228","Nematolepis squamea subsp squamea large","Acacia melanoxylon small",-0.119745694009519,0.589220418913894,0.351379601117874,0.497727944048804,0.579091728377231,0.673059624681775,0.925634891551524,"Weeaproinah","large_small","Nematolepis squamea","Acacia melanoxylon","between","Nematolepis squamea subsp squamea large_Acacia melanoxylon small","between_species_large_small",0.0674974374914311,NA,-0.255588133775681,0.00899695928821545,0.264585093063897
"229","Acacia melanoxylon large","Eucalyptus regnans large",-0.0660448667106309,0.748162458200512,0.567799276146101,0.698505711882962,0.742185954999001,0.798689699958335,0.928114538250562,"Weeaproinah","large_large","Acacia melanoxylon","Eucalyptus regnans","between","Acacia melanoxylon large_Eucalyptus regnans large","between_species_large_large",NA,NA,NA,NA,NA
"230","Nematolepis squamea subsp squamea large","Nematolepis squamea subsp squamea large",-0.0201848665722577,1.04337404846539,0.698184140925189,0.934303012371956,1.06937053160536,1.15182482610473,1.41192020946245,"Weeaproinah","large_large","Nematolepis squamea","Nematolepis squamea","within","Nematolepis squamea subsp squamea large_Nematolepis squamea subsp squamea large","within_species_large_large",0.130264105149584,NA,-0.28339346284203,0.227232446301017,0.510625909143047
"231","Eucalyptus regnans small","Nematolepis squamea subsp squamea small",-0.0154452164233316,0.915239168125934,0.857223787946345,0.902217844393249,0.916493543606541,0.929814180903535,0.968458763046418,"Weeaproinah","small_small","Eucalyptus regnans","Nematolepis squamea","between","Eucalyptus regnans small_Nematolepis squamea subsp squamea small","between_species_small_small",NA,NA,NA,NA,NA
"232","Acacia melanoxylon small","Acacia melanoxylon large",0.00373924718506029,1.02907983806839,1.00782424130092,1.02052830252092,1.03017283113705,1.03688897910812,1.05764330239402,"Weeaproinah","large_small","Acacia melanoxylon","Acacia melanoxylon","within","Acacia melanoxylon small_Acacia melanoxylon large","within_species_large_small",0.0813376957184767,NA,-0.152471243404405,0.166366664982979,0.318837908387384
"233","Nematolepis squamea subsp squamea small","Nematolepis squamea subsp squamea large",0.00636162352033654,1.0954975383364,1.02048754549465,1.06902353794489,1.0942464361296,1.12405730381215,1.17598917727423,"Weeaproinah","large_small","Nematolepis squamea","Nematolepis squamea","within","Nematolepis squamea subsp squamea small_Nematolepis squamea subsp squamea large","within_species_large_small",0.0379970197536984,NA,-0.0634747202716616,0.0854708602025503,0.148945580474212
"234","Eucalyptus regnans small","Acacia melanoxylon small",0.0102204814860799,1.07586942724736,1.02816834628165,1.05926226029929,1.07254227685154,1.09049538098566,1.13064027081741,"Weeaproinah","small_small","Eucalyptus regnans","Acacia melanoxylon","between","Eucalyptus regnans small_Acacia melanoxylon small","between_species_small_small",0.0586770153691606,NA,-0.105080137445046,0.124929536242669,0.230009673687716
"235","Nematolepis squamea subsp squamea small","Eucalyptus regnans large",0.0178883899288008,1.21736096307082,1.05169817520922,1.16117165901133,1.21290684344174,1.26165212149238,1.46946465211805,"Weeaproinah","large_small","Nematolepis squamea","Eucalyptus regnans","between","Nematolepis squamea subsp squamea small_Eucalyptus regnans large","between_species_large_small",0.0420557147830654,NA,-0.0605881315888813,0.104267241048913,0.164855372637794
"236","Nematolepis squamea subsp squamea small","Acacia melanoxylon large",0.0324804038808858,1.61566824222265,1.12890473827253,1.40980557862432,1.60545325273008,1.79114485554825,2.37832180204461,"Weeaproinah","large_small","Nematolepis squamea","Acacia melanoxylon","between","Nematolepis squamea subsp squamea small_Acacia melanoxylon large","between_species_large_small",0.0414053592915079,NA,-0.0528747092624371,0.109431316694156,0.162306025956593
"237","Acacia melanoxylon small","Eucalyptus regnans large",0.0359716245752234,1.26487876125744,1.07194916971505,1.18100351936891,1.26026345848693,1.33222651191428,1.6022218631075,"Weeaproinah","large_small","Acacia melanoxylon","Eucalyptus regnans","between","Acacia melanoxylon small_Eucalyptus regnans large","between_species_large_small",NA,NA,NA,NA,NA
"238","Eucalyptus regnans large","Nematolepis squamea subsp squamea large",0.0368764266996777,1.3154302454206,1.0676145429374,1.24280563916119,1.28754934016692,1.36883217327575,1.61894675010959,"Weeaproinah","large_large","Eucalyptus regnans","Nematolepis squamea","between","Eucalyptus regnans large_Nematolepis squamea subsp squamea large","between_species_large_large",NA,NA,NA,NA,NA
"239","Nematolepis squamea subsp squamea small","Acacia melanoxylon small",0.0724046197892741,2.10553262762954,1.23019744719879,1.77539942395517,2.0513011662937,2.42699782400936,3.3561972921495,"Weeaproinah","small_small","Nematolepis squamea","Acacia melanoxylon","between","Nematolepis squamea subsp squamea small_Acacia melanoxylon small","between_species_small_small",0.0340802378480832,1,0.0119854242269722,0.145577501760576,0.133592077533604
"240","Eucalyptus regnans small","Nematolepis squamea subsp squamea large",0.103131855892912,2.4805504530054,1.34345219227837,2.11831929612265,2.4339401682191,2.80237653681362,4.19149368075301,"Weeaproinah","large_small","Eucalyptus regnans","Nematolepis squamea","between","Eucalyptus regnans small_Nematolepis squamea subsp squamea large","between_species_large_small",NA,NA,NA,NA,NA
"241","Eucalyptus regnans small","Acacia melanoxylon large",0.136499273640148,3.53938825604548,1.54963031881609,2.68712327253838,3.40289119017924,4.2864838182669,6.75163312758527,"Weeaproinah","large_small","Eucalyptus regnans","Acacia melanoxylon","between","Eucalyptus regnans small_Acacia melanoxylon large","between_species_large_small",0.0930848071206188,NA,-0.0442802309648907,0.32060550796365,0.364885738928541
"242","Acacia melanoxylon small","Acacia melanoxylon small",0.209482489974684,0.993346364122851,0.403655279707379,0.697805918916566,0.913663880974883,1.20932202486576,3.53806055490388,"Weeaproinah","small_small","Acacia melanoxylon","Acacia melanoxylon","within","Acacia melanoxylon small_Acacia melanoxylon small","within_species_small_small",0.0859209467101953,1,0.040295213033115,0.377099135172251,0.336803922139136
"243","Nematolepis squamea subsp squamea small","Nematolepis squamea subsp squamea small",0.322961293394674,4.97161702280789,1.1335604561298,3.23497236271772,4.73786338055998,6.34910320861886,16.3687391058703,"Weeaproinah","small_small","Nematolepis squamea","Nematolepis squamea","within","Nematolepis squamea subsp squamea small_Nematolepis squamea subsp squamea small","within_species_small_small",0.0588229267170822,1,0.21837404454559,0.44895568020703,0.23058163566144
"244","Eucalyptus regnans large","Eucalyptus regnans large",-0.685125889049309,0.110719073510227,0.0128035162202121,0.0530525634309613,0.0862211132463449,0.143593584960733,0.706848652963044,"ANU363","large_large","Eucalyptus regnans","Eucalyptus regnans","within","Eucalyptus regnans large_Eucalyptus regnans large","within_species_large_large",0.212343452963774,1,-1.10019347490749,-0.267822434583747,0.832371040323743
"245","Eucalyptus regnans large","Eucalyptus regnans small",-0.252896842304419,0.336480932805832,0.114462970635631,0.245152927305173,0.323522092823602,0.415596340483643,0.821215777871726,"ANU363","large_small","Eucalyptus regnans","Eucalyptus regnans","within","Eucalyptus regnans large_Eucalyptus regnans small","within_species_large_small",NA,NA,NA,NA,NA
"246","Eucalyptus regnans small","Eucalyptus regnans small",-0.00240736338154916,2.03892548976954,1.19817035654407,1.66337731411318,1.95043483925179,2.3821791306863,3.14500529182924,"ANU363","small_small","Eucalyptus regnans","Eucalyptus regnans","within","Eucalyptus regnans small_Eucalyptus regnans small","within_species_small_small",0.0929946954317853,NA,-0.181200711564518,0.183331796034624,0.364532507599141
"247","Eucalyptus regnans large","Eucalyptus regnans large",-0.413890468333465,0.251285247951919,0.0431354959805729,0.171179948697489,0.238882978790103,0.304846965195378,0.69625380102599,"ANU589","large_large","Eucalyptus regnans","Eucalyptus regnans","within","Eucalyptus regnans large_Eucalyptus regnans large","within_species_large_large",0.198151943205593,1,-0.793170242132084,-0.0164288978329064,0.776741344299178
"248","Eucalyptus regnans large","Eucalyptus regnans small",-0.0998576571765174,0.618889114394358,0.388028469132173,0.569724923938082,0.620865945181578,0.668362384570316,0.862916838802051,"ANU589","large_small","Eucalyptus regnans","Eucalyptus regnans","within","Eucalyptus regnans large_Eucalyptus regnans small","within_species_large_small",NA,NA,NA,NA,NA
"249","Pomaderris aspera small","Eucalyptus regnans large",-0.063513687680025,0.753020306859176,0.308682967001327,0.681572421622583,0.800539602708352,0.847160250941495,0.93614665011925,"ANU589","large_small","Pomaderris aspera","Eucalyptus regnans","between","Pomaderris aspera small_Eucalyptus regnans large","between_species_large_small",0.049693657460027,NA,-0.159526385064199,0.0352691726992478,0.194795557763446
"250","Pomaderris aspera small","Eucalyptus regnans small",-0.049173450019855,0.804953718514351,0.422758425353149,0.737600240456397,0.854953462913292,0.889291246534776,0.951271641902503,"ANU589","small_small","Pomaderris aspera","Eucalyptus regnans","between","Pomaderris aspera small_Eucalyptus regnans small","between_species_small_small",0.0345690699517017,NA,-0.119474651232873,0.0160336129358898,0.135508264168762
"251","Eucalyptus regnans small","Eucalyptus regnans small",0.114631245986824,3.46041842613877,1.35855717825104,2.62084913040319,3.42713659305191,4.23490700167414,5.9633734273437,"ANU589","small_small","Eucalyptus regnans","Eucalyptus regnans","within","Eucalyptus regnans small_Eucalyptus regnans small","within_species_small_small",0.0920294773414656,NA,-0.0694327799421636,0.291316142268472,0.360748922210635
"252","Pomaderris aspera small","Pomaderris aspera small",0.37515046878275,10.3162078197053,2.31800764465327,4.90582518018176,6.42698459516254,10.541390593251,85.3592177000561,"ANU589","small_small","Pomaderris aspera","Pomaderris aspera","within","Pomaderris aspera small_Pomaderris aspera small","within_species_small_small",0.0611573261995457,1,0.243515437823093,0.483247751306847,0.239732313483755
"253","Eucalyptus regnans large","Eucalyptus regnans large",-3.30373893471522,2.82516378693592e-05,6.02120078300427e-12,9.35985711336337e-10,1.6366873458616e-08,9.05870445294556e-07,0.00619655325246823,"Turtons","large_large","Eucalyptus regnans","Eucalyptus regnans","within","Eucalyptus regnans large_Eucalyptus regnans large","within_species_large_large",1.2382373997916,1,-5.73412278116794,-0.880321365363828,4.85380141580411
"254","Acacia melanoxylon large","Acacia melanoxylon large",-1.19528412545973,0.00381570780582588,4.38001982827532e-07,6.23615338724641e-05,0.000509785999858317,0.00337655550434621,0.0989683800093109,"Turtons","large_large","Acacia melanoxylon","Acacia melanoxylon","within","Acacia melanoxylon large_Acacia melanoxylon large","within_species_large_large",1.09293502170259,NA,-3.31673611941,0.96749044054915,4.28422655995915
"255","Eucalyptus regnans small","Eucalyptus regnans small",-0.728645185338419,0.0138524136161405,0.000171982205199894,0.00218321269676799,0.00696518217701326,0.0164271163689298,0.250923265741142,"Turtons","small_small","Eucalyptus regnans","Eucalyptus regnans","within","Eucalyptus regnans small_Eucalyptus regnans small","within_species_small_small",0.454658511395068,NA,-1.5951431807689,0.187085434428955,1.78222861519785
"256","Olearia argophylla large","Eucalyptus regnans large",-0.700664772176558,0.301569141794948,0.00158807357109292,0.0684507216490769,0.31310647592815,0.492980494570397,0.789954086267279,"Turtons","large_large","Olearia argophylla","Eucalyptus regnans","between","Olearia argophylla large_Eucalyptus regnans large","between_species_large_large",0.464626037304003,NA,-1.61330592259077,0.207994676200048,1.82130059879082
"257","Hedycarya angustifolia large","Olearia argophylla large",-0.535292801841462,0.402419436177277,0.00833953631362294,0.0938542330058686,0.331733348002188,0.707872139551952,0.984209122361444,"Turtons","large_large","Hedycarya angustifolia","Olearia argophylla","between","Hedycarya angustifolia large_Olearia argophylla large","between_species_large_large",NA,NA,NA,NA,NA
"258","Hedycarya angustifolia large","Acacia melanoxylon large",-0.471339924191296,0.476032485739347,0.0203018417293574,0.181453523642042,0.459317192575455,0.763346344694115,0.986082507471855,"Turtons","large_large","Hedycarya angustifolia","Acacia melanoxylon","between","Hedycarya angustifolia large_Acacia melanoxylon large","between_species_large_large",0.476879222052947,NA,-1.39921799485458,0.470114205543925,1.86933220039851
