"","from","to","alpha","lo","hi","lo_numerical","hi_numerical","se","site","range_ci","size_from","size_to","species_from","species_to","size_int","georegion","sig","class_from","class_to","class_int","group"
"36","Eucalyptus diversicolor small","Acacia melanoxylon small",-0.11053933034003,-0.233039174131671,0.0119605134516109,-0.114127655934326,-0.106951004745734,0.0625010687736632,"Sutton",0.244999687583282,"small","small","Eucalyptus diversicolor","Acacia melanoxylon","small_small","N_WA",NA,"Canopy","Subcanopy","Subcanopy_Canopy","Canopy.small_Subcanopy.small"
"37","Corymbia calophylla large","Corymbia calophylla large",-0.836542257940031,-2.35939765199368,0.686313136113612,-0.860807131048649,-0.812277384831413,0.776981314996466,"Sutton",3.04571078810729,"large","large","Corymbia calophylla","Corymbia calophylla","large_large","N_WA",NA,"Canopy","Canopy","Canopy_Canopy","Canopy.large_Canopy.large"
"38","Corymbia calophylla small","Corymbia calophylla large",0.518710500641297,-0.170303814377838,1.20772481566043,0.508267146625438,0.529153854657155,0.351544375536486,"Sutton",1.37802863003827,"small","large","Corymbia calophylla","Corymbia calophylla","small_large","N_WA",NA,"Canopy","Canopy","Canopy_Canopy","Canopy.large_Canopy.small"
"39","Eucalyptus diversicolor large","Corymbia calophylla large",-0.544799775343356,-1.17124612325933,0.0816465725726225,-0.55579740702436,-0.533802143662352,0.319621356748036,"Sutton",1.25289269583196,"large","large","Eucalyptus diversicolor","Corymbia calophylla","large_large","N_WA",NA,"Canopy","Canopy","Canopy_Canopy","Canopy.large_Canopy.large"
"40","Eucalyptus diversicolor small","Corymbia calophylla large",-0.0217267311696298,-0.272665520158697,0.229212057819438,-0.0280291526163001,-0.0154243097229594,0.128032347006598,"Sutton",0.501877577978135,"small","large","Eucalyptus diversicolor","Corymbia calophylla","small_large","N_WA",NA,"Canopy","Canopy","Canopy_Canopy","Canopy.large_Canopy.small"
"41","Corymbia calophylla small","Corymbia calophylla small",0.34357772979393,0.0628136500865592,0.624341809501302,0.332690153526919,0.354465306060942,0.143249611687767,"Sutton",0.561528159414742,"small","small","Corymbia calophylla","Corymbia calophylla","small_small","N_WA",1,"Canopy","Canopy","Canopy_Canopy","Canopy.small_Canopy.small"
"42","Eucalyptus diversicolor large","Corymbia calophylla small",0.162324956042022,-0.0637839636220164,0.388433875706061,0.158423029846872,0.166226882237173,0.115363813543288,"Sutton",0.452217839328077,"large","small","Eucalyptus diversicolor","Corymbia calophylla","large_small","N_WA",NA,"Canopy","Canopy","Canopy_Canopy","Canopy.large_Canopy.small"
"43","Eucalyptus diversicolor small","Corymbia calophylla small",-0.0636423712708413,-0.159919880141225,0.0326351375995425,-0.0665557278684168,-0.0607290146732657,0.0491220806248526,"Sutton",0.192555017740768,"small","small","Eucalyptus diversicolor","Corymbia calophylla","small_small","N_WA",NA,"Canopy","Canopy","Canopy_Canopy","Canopy.small_Canopy.small"
"44","Eucalyptus diversicolor large","Eucalyptus diversicolor large",-0.129681407106541,-0.373496544668509,0.114133730455427,-0.135365711979654,-0.123997102233428,0.124397764186052,"Sutton",0.487630275123936,"large","large","Eucalyptus diversicolor","Eucalyptus diversicolor","large_large","N_WA",NA,"Canopy","Canopy","Canopy_Canopy","Canopy.large_Canopy.large"
"45","Eucalyptus diversicolor small","Eucalyptus diversicolor large",-0.0621267306196274,-0.170430752985028,0.0461772917457732,-0.0647363685831231,-0.0595170926561317,0.0552581696498961,"Sutton",0.216608044730801,"small","large","Eucalyptus diversicolor","Eucalyptus diversicolor","small_large","N_WA",NA,"Canopy","Canopy","Canopy_Canopy","Canopy.large_Canopy.small"
"46","Eucalyptus diversicolor small","Eucalyptus diversicolor small",-0.00413861942033272,-0.212415258627114,0.204138019786449,-0.0115474469571154,0.00327020811644992,0.106265544086341,"Sutton",0.416553278413562,"small","small","Eucalyptus diversicolor","Eucalyptus diversicolor","small_small","N_WA",NA,"Canopy","Canopy","Canopy_Canopy","Canopy.small_Canopy.small"
"47","Allocasuarina decussata large","Allocasuarina decussata large",-0.144017557769461,-0.517784771386264,0.229749655847341,-0.151576261129978,-0.136458854408944,0.190701062144524,"Giants",0.747534427233605,"large","large","Allocasuarina decussata","Allocasuarina decussata","large_large","S_WA",NA,"Subcanopy","Subcanopy","Subcanopy_Subcanopy","Subcanopy.large_Subcanopy.large"
