,from,to,alpha,lo,hi,lo_numerical,hi_numerical,Potential,site,range_ci,size_from,size_to,species_from,species_to,size_int,georegion,region,sig,class_from,class_to,class_int
56,Eucalyptus diversicolor small,Eucalyptus diversicolor small,0.034758018,-0.210526613,0.280042648,0.027666816,0.041849219,Potential 1,Warren,0.490569261,small,small,Eucalyptus diversicolor,Eucalyptus diversicolor,small_small,N_WA,WA,NA,Canopy,Canopy,Canopy_Canopy
57,Trymalium odoratissimum small,Eucalyptus diversicolor small,-0.08782912,-0.201733427,0.026075186,-0.090933617,-0.084724623,Potential 1,Warren,0.227808613,small,small,Trymalium odoratissimum,Eucalyptus diversicolor,small_small,N_WA,WA,NA,Canopy,Subcanopy,Subcanopy_Canopy
58,Trymalium odoratissimum small,Trymalium odoratissimum small,0.367448955,0.223760252,0.511137658,0.358295512,0.376602398,Potential 1,Warren,0.287377406,small,small,Trymalium odoratissimum,Trymalium odoratissimum,small_small,N_WA,WA,1,Subcanopy,Subcanopy,Subcanopy_Subcanopy
59,Allocasuarina decussata large,Allocasuarina decussata large,0.208881849,-0.162398648,0.580162345,0.199597042,0.218166655,Potential 1,Dawson,0.742560993,large,large,Allocasuarina decussata,Allocasuarina decussata,large_large,S_WA,WA,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
60,Allocasuarina decussata small,Allocasuarina decussata large,0.079596465,-0.151237878,0.310430808,0.075279996,0.083912934,Potential 1,Dawson,0.461668686,small,large,Allocasuarina decussata,Allocasuarina decussata,small_large,S_WA,WA,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
61,Eucalyptus diversicolor large,Allocasuarina decussata large,-0.168945588,-0.450508624,0.112617448,-0.172109259,-0.165781917,Potential 1,Dawson,0.563126072,large,large,Eucalyptus diversicolor,Allocasuarina decussata,large_large,S_WA,WA,NA,Subcanopy,Canopy,Canopy_Subcanopy
62,Eucalyptus diversicolor small,Allocasuarina decussata large,-0.007702138,-0.218065402,0.202661127,-0.010154476,-0.0052498,Potential 1,Dawson,0.42072653,small,large,Eucalyptus diversicolor,Allocasuarina decussata,small_large,S_WA,WA,NA,Subcanopy,Canopy,Canopy_Subcanopy
63,Allocasuarina decussata small,Allocasuarina decussata small,0.225804975,0.040599647,0.411010304,0.218493249,0.233116702,Potential 1,Dawson,0.370410658,small,small,Allocasuarina decussata,Allocasuarina decussata,small_small,S_WA,WA,1,Subcanopy,Subcanopy,Subcanopy_Subcanopy
64,Eucalyptus diversicolor large,Allocasuarina decussata small,-0.012062527,-0.180979747,0.156854694,-0.015208491,-0.008916562,Potential 1,Dawson,0.337834441,large,small,Eucalyptus diversicolor,Allocasuarina decussata,large_small,S_WA,WA,NA,Subcanopy,Canopy,Canopy_Subcanopy
65,Eucalyptus diversicolor small,Allocasuarina decussata small,-0.028317629,-0.162896415,0.106261156,-0.030980712,-0.025654546,Potential 1,Dawson,0.269157571,small,small,Eucalyptus diversicolor,Allocasuarina decussata,small_small,S_WA,WA,NA,Subcanopy,Canopy,Canopy_Subcanopy
66,Eucalyptus diversicolor large,Eucalyptus diversicolor large,-0.149353797,-0.448605797,0.149898202,-0.153557667,-0.145149927,Potential 1,Dawson,0.598503999,large,large,Eucalyptus diversicolor,Eucalyptus diversicolor,large_large,S_WA,WA,NA,Canopy,Canopy,Canopy_Canopy
67,Eucalyptus diversicolor small,Eucalyptus diversicolor large,0.063207736,-0.11813616,0.244551632,0.06083221,0.065583263,Potential 1,Dawson,0.362687792,small,large,Eucalyptus diversicolor,Eucalyptus diversicolor,small_large,S_WA,WA,NA,Canopy,Canopy,Canopy_Canopy
68,Eucalyptus diversicolor small,Eucalyptus diversicolor small,0.178893693,-0.008294337,0.366081723,0.174440163,0.183347224,Potential 1,Dawson,0.374376061,small,small,Eucalyptus diversicolor,Eucalyptus diversicolor,small_small,S_WA,WA,NA,Canopy,Canopy,Canopy_Canopy
69,Eucalyptus diversicolor large,Eucalyptus diversicolor large,-0.979221403,-1.942121191,-0.016321615,-0.992797573,-0.965645233,Potential 1,Carey,1.925799576,large,large,Eucalyptus diversicolor,Eucalyptus diversicolor,large_large,N_WA,WA,1,Canopy,Canopy,Canopy_Canopy
70,Eucalyptus diversicolor small,Eucalyptus diversicolor large,0.136479309,-0.214500006,0.487458624,0.133076293,0.139882324,Potential 1,Carey,0.70195863,small,large,Eucalyptus diversicolor,Eucalyptus diversicolor,small_large,N_WA,WA,NA,Canopy,Canopy,Canopy_Canopy
71,Trymalium odoratissimum small,Eucalyptus diversicolor large,-0.018628419,-0.342556969,0.30530013,-0.022425516,-0.014831323,Potential 1,Carey,0.647857098,small,large,Trymalium odoratissimum,Eucalyptus diversicolor,small_large,N_WA,WA,NA,Canopy,Subcanopy,Subcanopy_Canopy
72,Eucalyptus diversicolor small,Eucalyptus diversicolor small,0.216941771,0.018502563,0.415380979,0.212877004,0.221006538,Potential 1,Carey,0.396878416,small,small,Eucalyptus diversicolor,Eucalyptus diversicolor,small_small,N_WA,WA,1,Canopy,Canopy,Canopy_Canopy
73,Trymalium odoratissimum small,Eucalyptus diversicolor small,-0.072793051,-0.200270956,0.054684853,-0.074528454,-0.071057648,Potential 1,Carey,0.254955809,small,small,Trymalium odoratissimum,Eucalyptus diversicolor,small_small,N_WA,WA,NA,Canopy,Subcanopy,Subcanopy_Canopy
