from,to,alpha,lo,hi,lo_numerical,hi_numerical,Site,class_from,class_to,species_from,species_to,class_int,dom_euc
Non-euc Suppressed,Non-euc Suppressed,0.176432026,0.025157598,0.327706454,0.167576557,0.185287495,ANU689,Suppressed,Suppressed,Non-euc,Non-euc,Suppressed_Suppressed,E. regnans
Eucalyptus regnans Co-dominant,Eucalyptus regnans Co-dominant,-0.549848232,-0.921597282,-0.178099182,-0.560376186,-0.539320279,Ada Tree,Co-dominant,Co-dominant,Eucalyptus,Eucalyptus,Co-dominant_Co-dominant,E. regnans
Eucalyptus regnans Dominant,Eucalyptus regnans Co-dominant,-0.445186558,-0.878209527,-0.012163588,-0.45250758,-0.437865535,Ada Tree,Dominant,Co-dominant,Eucalyptus,Eucalyptus,Dominant_Co-dominant,E. regnans
Eucalyptus regnans Intermediate,Eucalyptus regnans Co-dominant,-0.105219105,-0.376930316,0.166492106,-0.110663671,-0.09977454,Ada Tree,Intermediate,Co-dominant,Eucalyptus,Eucalyptus,Intermediate_Co-dominant,E. regnans
Eucalyptus regnans Suppressed,Eucalyptus regnans Co-dominant,-0.15811924,-0.486328066,0.170089585,-0.164448784,-0.151789696,Ada Tree,Suppressed,Co-dominant,Eucalyptus,Eucalyptus,Suppressed_Co-dominant,E. regnans
Non-euc Suppressed,Eucalyptus regnans Co-dominant,0.111353387,-0.027867221,0.250573995,0.107070576,0.115636198,Ada Tree,Suppressed,Co-dominant,Non-euc,Eucalyptus,Suppressed_Co-dominant,E. regnans
Eucalyptus regnans Dominant,Eucalyptus regnans Dominant,-1.102789369,-2.400322235,0.194743498,-1.12333812,-1.082240617,Ada Tree,Dominant,Dominant,Eucalyptus,Eucalyptus,Dominant_Dominant,E. regnans
Eucalyptus regnans Intermediate,Eucalyptus regnans Dominant,0.099178311,-0.336032674,0.534389296,0.092676747,0.105679875,Ada Tree,Intermediate,Dominant,Eucalyptus,Eucalyptus,Intermediate_Dominant,E. regnans
Eucalyptus regnans Suppressed,Eucalyptus regnans Dominant,0.458581511,-0.080209841,0.997372864,0.44609404,0.471068982,Ada Tree,Suppressed,Dominant,Eucalyptus,Eucalyptus,Suppressed_Dominant,E. regnans
Non-euc Suppressed,Eucalyptus regnans Dominant,0.157612995,-0.040264765,0.355490754,0.154111351,0.161114638,Ada Tree,Suppressed,Dominant,Non-euc,Eucalyptus,Suppressed_Dominant,E. regnans
Eucalyptus regnans Intermediate,Eucalyptus regnans Intermediate,-0.255363516,-0.587254583,0.076527552,-0.2623081,-0.248418932,Ada Tree,Intermediate,Intermediate,Eucalyptus,Eucalyptus,Intermediate_Intermediate,E. regnans
Eucalyptus regnans Suppressed,Eucalyptus regnans Intermediate,-0.338656138,-0.68749955,0.010187275,-0.344511137,-0.332801139,Ada Tree,Suppressed,Intermediate,Eucalyptus,Eucalyptus,Suppressed_Intermediate,E. regnans
Non-euc Suppressed,Eucalyptus regnans Intermediate,0.044477259,-0.087480149,0.176434666,0.041283791,0.047670726,Ada Tree,Suppressed,Intermediate,Non-euc,Eucalyptus,Suppressed_Intermediate,E. regnans
Eucalyptus regnans Suppressed,Eucalyptus regnans Suppressed,-0.498999667,-1.164062271,0.166062936,-0.510834936,-0.487164398,Ada Tree,Suppressed,Suppressed,Eucalyptus,Eucalyptus,Suppressed_Suppressed,E. regnans
Non-euc Suppressed,Eucalyptus regnans Suppressed,0.097220073,-0.091439229,0.285879376,0.093160141,0.101280005,Ada Tree,Suppressed,Suppressed,Non-euc,Eucalyptus,Suppressed_Suppressed,E. regnans
Non-euc Suppressed,Non-euc Suppressed,-0.032021335,-0.195807811,0.13176514,-0.044066696,-0.019975975,Ada Tree,Suppressed,Suppressed,Non-euc,Non-euc,Suppressed_Suppressed,E. regnans
Eucalyptus regnans Co-dominant,Eucalyptus regnans Co-dominant,-0.099691461,-0.361860896,0.162477974,-0.106057567,-0.093325356,HardyCreek,Co-dominant,Co-dominant,Eucalyptus,Eucalyptus,Co-dominant_Co-dominant,E. regnans
Eucalyptus regnans Dominant,Eucalyptus regnans Co-dominant,-0.627954572,-1.075414948,-0.180494195,-0.639169936,-0.616739207,HardyCreek,Dominant,Co-dominant,Eucalyptus,Eucalyptus,Dominant_Co-dominant,E. regnans
Eucalyptus regnans Intermediate,Eucalyptus regnans Co-dominant,-0.134639926,-0.352343277,0.083063425,-0.138846962,-0.13043289,HardyCreek,Intermediate,Co-dominant,Eucalyptus,Eucalyptus,Intermediate_Co-dominant,E. regnans
Eucalyptus regnans Suppressed,Eucalyptus regnans Co-dominant,-0.218568366,-0.519996792,0.08286006,-0.223613407,-0.213523325,HardyCreek,Suppressed,Co-dominant,Eucalyptus,Eucalyptus,Suppressed_Co-dominant,E. regnans
Non-euc Suppressed,Eucalyptus regnans Co-dominant,0.05902295,-0.136650184,0.254696084,0.054324861,0.063721039,HardyCreek,Suppressed,Co-dominant,Non-euc,Eucalyptus,Suppressed_Co-dominant,E. regnans
Eucalyptus regnans Dominant,Eucalyptus regnans Dominant,-2.581822922,-4.7371449,-0.426500943,-2.637937011,-2.525708832,HardyCreek,Dominant,Dominant,Eucalyptus,Eucalyptus,Dominant_Dominant,E. regnans
Eucalyptus regnans Intermediate,Eucalyptus regnans Dominant,0.068364187,-0.469023726,0.6057521,0.056528874,0.080199501,HardyCreek,Intermediate,Dominant,Eucalyptus,Eucalyptus,Intermediate_Dominant,E. regnans
Eucalyptus regnans Suppressed,Eucalyptus regnans Dominant,-0.141904698,-0.685767724,0.401958328,-0.153606967,-0.130202429,HardyCreek,Suppressed,Dominant,Eucalyptus,Eucalyptus,Suppressed_Dominant,E. regnans
Non-euc Suppressed,Eucalyptus regnans Dominant,-0.03164438,-0.522540451,0.45925169,-0.04376274,-0.019526021,HardyCreek,Suppressed,Dominant,Non-euc,Eucalyptus,Suppressed_Dominant,E. regnans
Eucalyptus regnans Intermediate,Eucalyptus regnans Intermediate,0.101769446,-0.272518474,0.476057366,0.092085443,0.11145345,HardyCreek,Intermediate,Intermediate,Eucalyptus,Eucalyptus,Intermediate_Intermediate,E. regnans
Eucalyptus regnans Suppressed,Eucalyptus regnans Intermediate,0.231371574,-0.081913494,0.544656643,0.223611034,0.239132114,HardyCreek,Suppressed,Intermediate,Eucalyptus,Eucalyptus,Suppressed_Intermediate,E. regnans
Non-euc Suppressed,Eucalyptus regnans Intermediate,0.092672657,-0.125581418,0.310926732,0.087202337,0.098142977,HardyCreek,Suppressed,Intermediate,Non-euc,Eucalyptus,Suppressed_Intermediate,E. regnans
Eucalyptus regnans Suppressed,Eucalyptus regnans Suppressed,0.160538951,-0.345802026,0.666879928,0.147806839,0.173271063,HardyCreek,Suppressed,Suppressed,Eucalyptus,Eucalyptus,Suppressed_Suppressed,E. regnans
Non-euc Suppressed,Eucalyptus regnans Suppressed,0.090152227,-0.196882276,0.37718673,0.082713105,0.097591349,HardyCreek,Suppressed,Suppressed,Non-euc,Eucalyptus,Suppressed_Suppressed,E. regnans
Non-euc Suppressed,Non-euc Suppressed,-0.030235816,-0.333139905,0.272668272,-0.038310273,-0.02216136,HardyCreek,Suppressed,Suppressed,Non-euc,Non-euc,Suppressed_Suppressed,E. regnans
Eucalyptus regnans Co-dominant,Eucalyptus regnans Co-dominant,-0.441685854,-0.748530315,-0.134841393,-0.45404301,-0.429328698,Weeaproinah,Co-dominant,Co-dominant,Eucalyptus,Eucalyptus,Co-dominant_Co-dominant,E. regnans
Eucalyptus regnans Dominant,Eucalyptus regnans Co-dominant,-0.291084595,-0.628732686,0.046563497,-0.297671489,-0.2844977,Weeaproinah,Dominant,Co-dominant,Eucalyptus,Eucalyptus,Dominant_Co-dominant,E. regnans
Eucalyptus regnans Intermediate,Eucalyptus regnans Co-dominant,-0.127540363,-0.399526112,0.144445387,-0.13495562,-0.120125105,Weeaproinah,Intermediate,Co-dominant,Eucalyptus,Eucalyptus,Intermediate_Co-dominant,E. regnans
Eucalyptus regnans Suppressed,Eucalyptus regnans Co-dominant,0.006064593,-0.187443072,0.199572257,0.002308799,0.009820386,Weeaproinah,Suppressed,Co-dominant,Eucalyptus,Eucalyptus,Suppressed_Co-dominant,E. regnans
Non-euc Suppressed,Eucalyptus regnans Co-dominant,0.032385894,-0.047015376,0.111787163,0.029377089,0.035394699,Weeaproinah,Suppressed,Co-dominant,Non-euc,Eucalyptus,Suppressed_Co-dominant,E. regnans
Eucalyptus regnans Dominant,Eucalyptus regnans Dominant,-0.728248707,-1.401297654,-0.055199761,-0.739655222,-0.716842192,Weeaproinah,Dominant,Dominant,Eucalyptus,Eucalyptus,Dominant_Dominant,E. regnans
Eucalyptus regnans Intermediate,Eucalyptus regnans Dominant,0.396168531,-0.091279677,0.883616739,0.385689381,0.406647682,Weeaproinah,Intermediate,Dominant,Eucalyptus,Eucalyptus,Intermediate_Dominant,E. regnans
Eucalyptus regnans Suppressed,Eucalyptus regnans Dominant,0.29711986,-0.053851291,0.648091011,0.291659699,0.302580021,Weeaproinah,Suppressed,Dominant,Eucalyptus,Eucalyptus,Suppressed_Dominant,E. regnans
Non-euc Suppressed,Eucalyptus regnans Dominant,0.009727164,-0.063319224,0.082773552,0.007750006,0.011704323,Weeaproinah,Suppressed,Dominant,Non-euc,Eucalyptus,Suppressed_Dominant,E. regnans
Eucalyptus regnans Intermediate,Eucalyptus regnans Intermediate,-0.564191662,-1.035802564,-0.09258076,-0.576675811,-0.551707513,Weeaproinah,Intermediate,Intermediate,Eucalyptus,Eucalyptus,Intermediate_Intermediate,E. regnans
Eucalyptus regnans Suppressed,Eucalyptus regnans Intermediate,-0.219923229,-0.453427031,0.013580572,-0.224276806,-0.215569653,Weeaproinah,Suppressed,Intermediate,Eucalyptus,Eucalyptus,Suppressed_Intermediate,E. regnans
Non-euc Suppressed,Eucalyptus regnans Intermediate,0.033114414,-0.062911978,0.129140807,0.030413811,0.035815017,Weeaproinah,Suppressed,Intermediate,Non-euc,Eucalyptus,Suppressed_Intermediate,E. regnans
Eucalyptus regnans Suppressed,Eucalyptus regnans Suppressed,0.096333469,-0.103240992,0.29590793,0.090057057,0.102609882,Weeaproinah,Suppressed,Suppressed,Eucalyptus,Eucalyptus,Suppressed_Suppressed,E. regnans
Non-euc Suppressed,Eucalyptus regnans Suppressed,0.014163176,-0.03482272,0.063149072,0.012412316,0.015914036,Weeaproinah,Suppressed,Suppressed,Non-euc,Eucalyptus,Suppressed_Suppressed,E. regnans
Non-euc Suppressed,Non-euc Suppressed,0.189839443,0.088580182,0.291098704,0.174029442,0.205649444,Weeaproinah,Suppressed,Suppressed,Non-euc,Non-euc,Suppressed_Suppressed,E. regnans
Eucalyptus regnans Co-dominant,Eucalyptus regnans Co-dominant,-0.005454161,-0.188548491,0.17764017,-0.011366616,0.000458294,Lardner,Co-dominant,Co-dominant,Eucalyptus,Eucalyptus,Co-dominant_Co-dominant,E. regnans
Eucalyptus regnans Dominant,Eucalyptus regnans Co-dominant,-0.133672416,-0.348505197,0.081160365,-0.136909117,-0.130435715,Lardner,Dominant,Co-dominant,Eucalyptus,Eucalyptus,Dominant_Co-dominant,E. regnans
Eucalyptus regnans Intermediate,Eucalyptus regnans Co-dominant,0.004728104,-0.191348663,0.200804872,0.001119676,0.008336533,Lardner,Intermediate,Co-dominant,Eucalyptus,Eucalyptus,Intermediate_Co-dominant,E. regnans
Eucalyptus regnans Suppressed,Eucalyptus regnans Co-dominant,0.019094174,-0.378332746,0.416521094,0.013043131,0.025145217,Lardner,Suppressed,Co-dominant,Eucalyptus,Eucalyptus,Suppressed_Co-dominant,E. regnans
Non-euc Suppressed,Eucalyptus regnans Co-dominant,-0.013673882,-0.098597067,0.071249302,-0.017236357,-0.010111408,Lardner,Suppressed,Co-dominant,Non-euc,Eucalyptus,Suppressed_Co-dominant,E. regnans
Eucalyptus regnans Dominant,Eucalyptus regnans Dominant,-0.505343932,-1.116037119,0.105349256,-0.51225723,-0.498430633,Lardner,Dominant,Dominant,Eucalyptus,Eucalyptus,Dominant_Dominant,E. regnans
Eucalyptus regnans Intermediate,Eucalyptus regnans Dominant,0.110029811,-0.320255531,0.540315153,0.104315367,0.115744255,Lardner,Intermediate,Dominant,Eucalyptus,Eucalyptus,Intermediate_Dominant,E. regnans
Eucalyptus regnans Suppressed,Eucalyptus regnans Dominant,-0.390735288,-1.311865943,0.530395368,-0.404049793,-0.377420783,Lardner,Suppressed,Dominant,Eucalyptus,Eucalyptus,Suppressed_Dominant,E. regnans
Non-euc Suppressed,Eucalyptus regnans Dominant,0.056190955,-0.113416525,0.225798435,0.052565454,0.059816456,Lardner,Suppressed,Dominant,Non-euc,Eucalyptus,Suppressed_Dominant,E. regnans
Eucalyptus regnans Intermediate,Eucalyptus regnans Intermediate,-0.081253637,-0.694485344,0.531978069,-0.08807547,-0.074431805,Lardner,Intermediate,Intermediate,Eucalyptus,Eucalyptus,Intermediate_Intermediate,E. regnans
Eucalyptus regnans Suppressed,Eucalyptus regnans Intermediate,-0.016899925,-0.839685459,0.805885609,-0.029746212,-0.004053638,Lardner,Suppressed,Intermediate,Eucalyptus,Eucalyptus,Suppressed_Intermediate,E. regnans
Non-euc Suppressed,Eucalyptus regnans Intermediate,0.027089533,-0.136567652,0.190746718,0.022846177,0.031332888,Lardner,Suppressed,Intermediate,Non-euc,Eucalyptus,Suppressed_Intermediate,E. regnans
Eucalyptus regnans Suppressed,Eucalyptus regnans Suppressed,-3.008701413,-8.516960078,2.499557252,-3.091682763,-2.925720063,Lardner,Suppressed,Suppressed,Eucalyptus,Eucalyptus,Suppressed_Suppressed,E. regnans
Non-euc Suppressed,Eucalyptus regnans Suppressed,0.343814076,-0.098896388,0.786524539,0.333395106,0.354233045,Lardner,Suppressed,Suppressed,Non-euc,Eucalyptus,Suppressed_Suppressed,E. regnans
Non-euc Suppressed,Non-euc Suppressed,-0.207293107,-0.394465603,-0.02012061,-0.224993961,-0.189592253,Lardner,Suppressed,Suppressed,Non-euc,Non-euc,Suppressed_Suppressed,E. regnans
Eucalyptus regnans Co-dominant,Eucalyptus regnans Co-dominant,-0.318401782,-0.847699646,0.210896081,-0.32490613,-0.311897435,Turtons,Co-dominant,Co-dominant,Eucalyptus,Eucalyptus,Co-dominant_Co-dominant,E. regnans
Eucalyptus regnans Dominant,Eucalyptus regnans Co-dominant,0.011857002,-0.555424793,0.579138797,0.00482293,0.018891074,Turtons,Dominant,Co-dominant,Eucalyptus,Eucalyptus,Dominant_Co-dominant,E. regnans
Eucalyptus regnans Intermediate,Eucalyptus regnans Co-dominant,-0.131064112,-0.752887698,0.490759475,-0.137591712,-0.124536512,Turtons,Intermediate,Co-dominant,Eucalyptus,Eucalyptus,Intermediate_Co-dominant,E. regnans
Eucalyptus regnans Suppressed,Eucalyptus regnans Co-dominant,-0.126219129,-0.872045744,0.619607486,-0.134857278,-0.11758098,Turtons,Suppressed,Co-dominant,Eucalyptus,Eucalyptus,Suppressed_Co-dominant,E. regnans
Non-euc Suppressed,Eucalyptus regnans Co-dominant,0.016446121,-0.082620526,0.115512768,0.013704526,0.019187715,Turtons,Suppressed,Co-dominant,Non-euc,Eucalyptus,Suppressed_Co-dominant,E. regnans
Eucalyptus regnans Dominant,Eucalyptus regnans Dominant,-1.559871944,-3.295788657,0.176044768,-1.589360965,-1.530382924,Turtons,Dominant,Dominant,Eucalyptus,Eucalyptus,Dominant_Dominant,E. regnans
Eucalyptus regnans Intermediate,Eucalyptus regnans Dominant,-0.148768835,-1.140091201,0.842553531,-0.159099381,-0.138438288,Turtons,Intermediate,Dominant,Eucalyptus,Eucalyptus,Intermediate_Dominant,E. regnans
Eucalyptus regnans Suppressed,Eucalyptus regnans Dominant,0.694511322,-0.313932988,1.702955633,0.678667931,0.710354714,Turtons,Suppressed,Dominant,Eucalyptus,Eucalyptus,Suppressed_Dominant,E. regnans
Non-euc Suppressed,Eucalyptus regnans Dominant,0.133272628,-0.043512203,0.310057459,0.128431016,0.138114241,Turtons,Suppressed,Dominant,Non-euc,Eucalyptus,Suppressed_Dominant,E. regnans
Eucalyptus regnans Intermediate,Eucalyptus regnans Intermediate,-0.880673311,-1.923865337,0.162518714,-0.886640472,-0.87470615,Turtons,Intermediate,Intermediate,Eucalyptus,Eucalyptus,Intermediate_Intermediate,E. regnans
Eucalyptus regnans Suppressed,Eucalyptus regnans Intermediate,0.187736857,-1.120711506,1.496185221,0.177602624,0.19787109,Turtons,Suppressed,Intermediate,Eucalyptus,Eucalyptus,Suppressed_Intermediate,E. regnans
Non-euc Suppressed,Eucalyptus regnans Intermediate,0.0156736,-0.123071735,0.154418934,0.012618837,0.018728363,Turtons,Suppressed,Intermediate,Non-euc,Eucalyptus,Suppressed_Intermediate,E. regnans
Eucalyptus regnans Suppressed,Eucalyptus regnans Suppressed,-0.305931719,-2.715682818,2.10381938,-0.325695874,-0.286167564,Turtons,Suppressed,Suppressed,Eucalyptus,Eucalyptus,Suppressed_Suppressed,E. regnans
Non-euc Suppressed,Eucalyptus regnans Suppressed,-0.043305743,-0.280640694,0.194029208,-0.049574277,-0.03703721,Turtons,Suppressed,Suppressed,Non-euc,Eucalyptus,Suppressed_Suppressed,E. regnans
Non-euc Suppressed,Non-euc Suppressed,0.158318986,0.046500094,0.270137879,0.144565303,0.172072669,Turtons,Suppressed,Suppressed,Non-euc,Non-euc,Suppressed_Suppressed,E. regnans
Eucalyptus Co-dominant,Eucalyptus Co-dominant,0.100809535,-0.074943675,0.276562746,0.093841482,0.107777589,NorthStyx,Co-dominant,Co-dominant,Eucalyptus,Eucalyptus,Co-dominant_Co-dominant,E. regnans
Eucalyptus Dominant,Eucalyptus Co-dominant,0.094321516,-0.128673483,0.317316515,0.089747943,0.09889509,NorthStyx,Dominant,Co-dominant,Eucalyptus,Eucalyptus,Dominant_Co-dominant,E. regnans
Eucalyptus Intermediate,Eucalyptus Co-dominant,0.083731643,-0.045656288,0.213119574,0.079298399,0.088164888,NorthStyx,Intermediate,Co-dominant,Eucalyptus,Eucalyptus,Intermediate_Co-dominant,E. regnans
Eucalyptus Suppressed,Eucalyptus Co-dominant,0.055839543,-0.033254612,0.144933699,0.052417686,0.059261401,NorthStyx,Suppressed,Co-dominant,Eucalyptus,Eucalyptus,Suppressed_Co-dominant,E. regnans
Non-euc Suppressed,Eucalyptus Co-dominant,-0.047642979,-0.12837694,0.033090982,-0.051218033,-0.044067925,NorthStyx,Suppressed,Co-dominant,Non-euc,Eucalyptus,Suppressed_Co-dominant,E. regnans
Eucalyptus Dominant,Eucalyptus Dominant,-0.744155649,-1.674401501,0.186090203,-0.756704378,-0.73160692,NorthStyx,Dominant,Dominant,Eucalyptus,Eucalyptus,Dominant_Dominant,E. regnans
Eucalyptus Intermediate,Eucalyptus Dominant,-0.149707718,-0.499152576,0.199737139,-0.15605376,-0.143361677,NorthStyx,Intermediate,Dominant,Eucalyptus,Eucalyptus,Intermediate_Dominant,E. regnans
Eucalyptus Suppressed,Eucalyptus Dominant,0.074536155,-0.095796746,0.244869056,0.070458743,0.078613567,NorthStyx,Suppressed,Dominant,Eucalyptus,Eucalyptus,Suppressed_Dominant,E. regnans
Non-euc Suppressed,Eucalyptus Dominant,-0.096254585,-0.257438206,0.064929036,-0.100431304,-0.092077865,NorthStyx,Suppressed,Dominant,Non-euc,Eucalyptus,Suppressed_Dominant,E. regnans
Eucalyptus Intermediate,Eucalyptus Intermediate,0.294943937,0.068085552,0.521802321,0.284945612,0.304942261,NorthStyx,Intermediate,Intermediate,Eucalyptus,Eucalyptus,Intermediate_Intermediate,E. regnans
Eucalyptus Suppressed,Eucalyptus Intermediate,0.093069059,-0.014319731,0.20045785,0.087754275,0.098383843,NorthStyx,Suppressed,Intermediate,Eucalyptus,Eucalyptus,Suppressed_Intermediate,E. regnans
Non-euc Suppressed,Eucalyptus Intermediate,-0.013243588,-0.114553695,0.088066519,-0.01834134,-0.008145836,NorthStyx,Suppressed,Intermediate,Non-euc,Eucalyptus,Suppressed_Intermediate,E. regnans
Eucalyptus Suppressed,Eucalyptus Suppressed,0.255766255,0.135727125,0.375805386,0.247207611,0.2643249,NorthStyx,Suppressed,Suppressed,Eucalyptus,Eucalyptus,Suppressed_Suppressed,E. regnans
Non-euc Suppressed,Eucalyptus Suppressed,0.096930235,0.028205166,0.165655303,0.092420843,0.101439626,NorthStyx,Suppressed,Suppressed,Non-euc,Eucalyptus,Suppressed_Suppressed,E. regnans
Non-euc Suppressed,Non-euc Suppressed,0.31231169,0.191168591,0.433454789,0.302529041,0.322094339,NorthStyx,Suppressed,Suppressed,Non-euc,Non-euc,Suppressed_Suppressed,E. regnans
Eucalyptus Co-dominant,Eucalyptus Co-dominant,0.154708226,-0.080081294,0.389497747,0.146926893,0.162489559,Weld,Co-dominant,Co-dominant,Eucalyptus,Eucalyptus,Co-dominant_Co-dominant,E. regnans
Eucalyptus Dominant,Eucalyptus Co-dominant,0.093879457,-0.511964327,0.699723242,0.083296369,0.104462546,Weld,Dominant,Co-dominant,Eucalyptus,Eucalyptus,Dominant_Co-dominant,E. regnans
Eucalyptus Intermediate,Eucalyptus Co-dominant,0.125176461,-0.289132796,0.539485718,0.116722983,0.133629939,Weld,Intermediate,Co-dominant,Eucalyptus,Eucalyptus,Intermediate_Co-dominant,E. regnans
Eucalyptus Suppressed,Eucalyptus Co-dominant,0.32666336,0.080362614,0.572964105,0.319016531,0.334310188,Weld,Suppressed,Co-dominant,Eucalyptus,Eucalyptus,Suppressed_Co-dominant,E. regnans
Non-euc Co-dominant,Eucalyptus Co-dominant,-0.071903203,-0.308268867,0.164462462,-0.077323625,-0.06648278,Weld,Co-dominant,Co-dominant,Non-euc,Eucalyptus,Co-dominant_Co-dominant,E. regnans
Non-euc Intermediate,Eucalyptus Co-dominant,0.179768252,-0.333769547,0.693306052,0.17210624,0.187430265,Weld,Intermediate,Co-dominant,Non-euc,Eucalyptus,Intermediate_Co-dominant,E. regnans
Non-euc Suppressed,Eucalyptus Co-dominant,0.203155179,0.056973156,0.349337203,0.198301403,0.208008956,Weld,Suppressed,Co-dominant,Non-euc,Eucalyptus,Suppressed_Co-dominant,E. regnans
Eucalyptus Dominant,Eucalyptus Dominant,-3.568884183,-9.962081063,2.824312696,-3.614573693,-3.523194674,Weld,Dominant,Dominant,Eucalyptus,Eucalyptus,Dominant_Dominant,E. regnans
Eucalyptus Intermediate,Eucalyptus Dominant,-1.507444337,-3.44477254,0.429883865,-1.539300555,-1.475588119,Weld,Intermediate,Dominant,Eucalyptus,Eucalyptus,Intermediate_Dominant,E. regnans
Eucalyptus Suppressed,Eucalyptus Dominant,0.303369261,-0.37234155,0.979080072,0.292403687,0.314334835,Weld,Suppressed,Dominant,Eucalyptus,Eucalyptus,Suppressed_Dominant,E. regnans
Non-euc Co-dominant,Eucalyptus Dominant,-0.49387995,-1.399787229,0.412027329,-0.513625885,-0.474134015,Weld,Co-dominant,Dominant,Non-euc,Eucalyptus,Co-dominant_Dominant,E. regnans
Non-euc Intermediate,Eucalyptus Dominant,0.318544581,-1.692871585,2.329960747,0.302424201,0.334664961,Weld,Intermediate,Dominant,Non-euc,Eucalyptus,Intermediate_Dominant,E. regnans
Non-euc Suppressed,Eucalyptus Dominant,0.3121434,-0.091795866,0.716082666,0.300003787,0.324283012,Weld,Suppressed,Dominant,Non-euc,Eucalyptus,Suppressed_Dominant,E. regnans
Eucalyptus Intermediate,Eucalyptus Intermediate,-0.323622755,-1.723385294,1.076139784,-0.344878643,-0.302366867,Weld,Intermediate,Intermediate,Eucalyptus,Eucalyptus,Intermediate_Intermediate,E. regnans
Eucalyptus Suppressed,Eucalyptus Intermediate,0.194439498,-0.299742912,0.688621907,0.185912596,0.2029664,Weld,Suppressed,Intermediate,Eucalyptus,Eucalyptus,Suppressed_Intermediate,E. regnans
Non-euc Co-dominant,Eucalyptus Intermediate,-1.765833414,-4.318984818,0.78731799,-1.805467416,-1.726199412,Weld,Co-dominant,Intermediate,Non-euc,Eucalyptus,Co-dominant_Intermediate,E. regnans
Non-euc Intermediate,Eucalyptus Intermediate,0.211581883,-0.878079955,1.301243721,0.200500715,0.222663051,Weld,Intermediate,Intermediate,Non-euc,Eucalyptus,Intermediate_Intermediate,E. regnans
Non-euc Suppressed,Eucalyptus Intermediate,0.260173768,-0.132880037,0.653227572,0.251294116,0.26905342,Weld,Suppressed,Intermediate,Non-euc,Eucalyptus,Suppressed_Intermediate,E. regnans
Eucalyptus Suppressed,Eucalyptus Suppressed,0.061355331,-0.307042514,0.429753176,0.052542046,0.070168616,Weld,Suppressed,Suppressed,Eucalyptus,Eucalyptus,Suppressed_Suppressed,E. regnans
Non-euc Co-dominant,Eucalyptus Suppressed,-0.041501629,-0.411030496,0.328027238,-0.04836356,-0.034639698,Weld,Co-dominant,Suppressed,Non-euc,Eucalyptus,Co-dominant_Suppressed,E. regnans
Non-euc Intermediate,Eucalyptus Suppressed,-0.390826982,-1.006188839,0.224534876,-0.398536827,-0.383117137,Weld,Intermediate,Suppressed,Non-euc,Eucalyptus,Intermediate_Suppressed,E. regnans
Non-euc Suppressed,Eucalyptus Suppressed,-0.229077355,-0.404057002,-0.054097708,-0.233369532,-0.224785177,Weld,Suppressed,Suppressed,Non-euc,Eucalyptus,Suppressed_Suppressed,E. regnans
Non-euc Co-dominant,Non-euc Co-dominant,0.377165018,0.185812294,0.568517742,0.364110872,0.390219165,Weld,Co-dominant,Co-dominant,Non-euc,Non-euc,Co-dominant_Co-dominant,E. regnans
Non-euc Intermediate,Non-euc Co-dominant,-0.199913062,-0.904742645,0.504916521,-0.208654863,-0.19117126,Weld,Intermediate,Co-dominant,Non-euc,Non-euc,Intermediate_Co-dominant,E. regnans
Non-euc Suppressed,Non-euc Co-dominant,0.087885114,-0.024674993,0.200445221,0.083428163,0.092342065,Weld,Suppressed,Co-dominant,Non-euc,Non-euc,Suppressed_Co-dominant,E. regnans
Non-euc Intermediate,Non-euc Intermediate,-0.734387489,-2.163766985,0.694992006,-0.746653796,-0.722121183,Weld,Intermediate,Intermediate,Non-euc,Non-euc,Intermediate_Intermediate,E. regnans
Non-euc Suppressed,Non-euc Intermediate,-0.114815109,-0.465315233,0.235685014,-0.12076705,-0.108863169,Weld,Suppressed,Intermediate,Non-euc,Non-euc,Suppressed_Intermediate,E. regnans
Non-euc Suppressed,Non-euc Suppressed,0.12157524,-0.05477291,0.29792339,0.112201909,0.130948571,Weld,Suppressed,Suppressed,Non-euc,Non-euc,Suppressed_Suppressed,E. regnans
Eucalyptus Co-dominant,Eucalyptus Co-dominant,-0.41764253,-0.860671235,0.025386175,-0.429959971,-0.405325089,Herberton,Co-dominant,Co-dominant,Eucalyptus,Eucalyptus,Co-dominant_Co-dominant,E. grandis
Eucalyptus Dominant,Eucalyptus Co-dominant,-1.143203636,-1.816146631,-0.470260641,-1.166670168,-1.119737104,Herberton,Dominant,Co-dominant,Eucalyptus,Eucalyptus,Dominant_Co-dominant,E. grandis
Eucalyptus Intermediate,Eucalyptus Co-dominant,-0.125681323,-0.351549726,0.100187079,-0.130658821,-0.120703825,Herberton,Intermediate,Co-dominant,Eucalyptus,Eucalyptus,Intermediate_Co-dominant,E. grandis
Eucalyptus Suppressed,Eucalyptus Co-dominant,0.009936177,-0.222578,0.242450354,0.004223794,0.01564856,Herberton,Suppressed,Co-dominant,Eucalyptus,Eucalyptus,Suppressed_Co-dominant,E. grandis
Non-euc Intermediate,Eucalyptus Co-dominant,-0.091046429,-0.647743122,0.465650264,-0.100575709,-0.081517149,Herberton,Intermediate,Co-dominant,Non-euc,Eucalyptus,Intermediate_Co-dominant,E. grandis
Non-euc Suppressed,Eucalyptus Co-dominant,-0.008655864,-0.282451064,0.265139337,-0.015093836,-0.002217892,Herberton,Suppressed,Co-dominant,Non-euc,Eucalyptus,Suppressed_Co-dominant,E. grandis
