"","...1","from","to","alpha","mean_effect","quan_0","quan_25","quan_50","quan_75","quan_100","site","class_from","class_to","class_int","species_from","species_to","which_species","group","int","se","sig","lo","hi","range_ci"
"37",37,"Allocasuarina decussata large","Allocasuarina decussata small",-0.0169710766263507,0.939613394020632,0.855596553056209,0.923758647870906,0.939812414252052,0.958058252800836,0.994939659687523,"Giants","large","small","large_small","Allocasuarina decussata","Allocasuarina decussata","within","within_species_large_small","Allocasuarina decussata large_Allocasuarina decussata small",0.0567804666168006,NA,-0.129163176417425,0.0934121627711912,0.222575339188616
"38",38,"Allocasuarina decussata large","Eucalyptus jacksonii small",-0.0106247387032988,0.985035214282252,0.916125690565474,0.983720489070295,0.989490022170925,0.993444799029163,0.997358650838329,"Giants","large","small","large_small","Allocasuarina decussata","Eucalyptus jacksonii","between","between_species_large_small","Allocasuarina decussata large_Eucalyptus jacksonii small",0.0889391959305096,NA,-0.186341229626677,0.162294012048823,0.3486352416755
"39",39,"Allocasuarina decussata small","Allocasuarina decussata small",0.326730882698992,9.85762122702542,1.48081165439941,4.15662933989407,9.28005344198525,13.2287769387036,23.1560914784685,"Giants","small","small","small_small","Allocasuarina decussata","Allocasuarina decussata","within","within_species_small_small","Allocasuarina decussata small_Allocasuarina decussata small",0.0697821194177214,1,0.192294744769462,0.465835626416676,0.273540881647214
"40",40,"Eucalyptus jacksonii small","Eucalyptus jacksonii small",0.336678256405725,0.696621759337177,0.110808568795762,0.263659853575419,0.41688469640437,0.725678926306651,3.61511442948039,"Giants","small","small","small_small","Eucalyptus jacksonii","Eucalyptus jacksonii","within","within_species_small_small","Eucalyptus jacksonii small_Eucalyptus jacksonii small",0.0838313681837761,1,0.171106948507998,0.499719873337834,0.328612924829836
"41",41,"Eucalyptus jacksonii small","Eucalyptus jacksonii large",0.369955659268524,21.1857443786766,1.19467420925839,4.36200809630914,17.942118127666,35.2816390711923,80.1939166072216,"Giants","small","large","large_small","Eucalyptus jacksonii","Eucalyptus jacksonii","within","within_species_large_small","Eucalyptus jacksonii small_Eucalyptus jacksonii large",0.136696500515524,1,0.0987669041886224,0.634607339834799,0.535840435646177
"42",42,"Eucalyptus diversicolor large","Eucalyptus diversicolor small",-0.23354325692365,0.422651308116253,0.153547598472861,0.327814295301153,0.432693512558897,0.500359180315734,0.666830564695342,"Warren","large","small","large_small","Eucalyptus diversicolor","Eucalyptus diversicolor","within","within_species_large_small","Eucalyptus diversicolor large_Eucalyptus diversicolor small",0.0726904582182054,1,-0.37751463887552,-0.0925732786207282,0.284941360254792
"43",43,"Eucalyptus diversicolor large","Eucalyptus diversicolor large",-0.139972988340396,1.08704252559228,0.664407222694466,0.917576821900507,1.10333915043077,1.24414745734921,1.59293005884664,"Warren","large","large","large_large","Eucalyptus diversicolor","Eucalyptus diversicolor","within","within_species_large_large","Eucalyptus diversicolor large_Eucalyptus diversicolor large",0.122387409492607,NA,-0.381202185446107,0.0985476440872224,0.479749829533329
"44",44,"Trymalium odoratissimum small","Eucalyptus diversicolor small",-0.0912002977255596,0.758441203005215,0.490906556471994,0.666385300650807,0.781920654541311,0.855571454178208,0.957866934427209,"Warren","small","small","small_small","Trymalium odoratissimum","Eucalyptus diversicolor","between","between_species_small_small","Trymalium odoratissimum small_Eucalyptus diversicolor small",0.0584831307061161,NA,-0.202374484949508,0.0268751748247641,0.229249659774272
"45",45,"Trymalium odoratissimum small","Eucalyptus diversicolor large",-0.045023610942484,0.856836773519282,0.676838372811061,0.810178344863946,0.852716453204291,0.914012438330885,0.978023495090019,"Warren","small","large","large_small","Trymalium odoratissimum","Eucalyptus diversicolor","between","between_species_large_small","Trymalium odoratissimum small_Eucalyptus diversicolor large",0.0518923566456665,NA,-0.146788946563449,0.0566253536333784,0.203414300196828
"46",46,"Eucalyptus diversicolor small","Eucalyptus diversicolor small",0.0364162978028879,2.66970509706465,1.5672448720799,2.06637843368616,2.49116622091398,3.17929756088911,4.12662703625879,"Warren","small","small","small_small","Eucalyptus diversicolor","Eucalyptus diversicolor","within","within_species_small_small","Eucalyptus diversicolor small_Eucalyptus diversicolor small",0.126421877518304,NA,-0.21553841137248,0.280026242215138,0.495564653587618
"47",47,"Trymalium odoratissimum small","Trymalium odoratissimum small",0.36807901376287,16.0132188140878,1.34460554839995,5.83983096135055,11.556403041912,25.2703375315284,45.9709424153064,"Warren","small","small","small_small","Trymalium odoratissimum","Trymalium odoratissimum","within","within_species_small_small","Trymalium odoratissimum small_Trymalium odoratissimum small",0.0728883816164248,1,0.224767330283925,0.510484536003133,0.285717205719208
"48",48,"Allocasuarina decussata large","Eucalyptus diversicolor large",-0.169847565952193,0.726178610643925,0.421403490977136,0.679575695618552,0.728642565350761,0.784141765125692,0.922307012007369,"Dawson","large","large","large_large","Allocasuarina decussata","Eucalyptus diversicolor","between","between_species_large_large","Allocasuarina decussata large_Eucalyptus diversicolor large",0.142318740242852,NA,-0.448006774330791,0.109872436071412,0.557879210402203
"49",49,"Eucalyptus diversicolor large","Eucalyptus diversicolor large",-0.147534255919264,0.572008217524912,0.410379148880917,0.497335715112858,0.555954228040257,0.637404300107027,0.829952734525343,"Dawson","large","large","large_large","Eucalyptus diversicolor","Eucalyptus diversicolor","within","within_species_large_large","Eucalyptus diversicolor large_Eucalyptus diversicolor large",0.151591883612701,NA,-0.445300961050096,0.148928303408866,0.594229264458963
"50",50,"Eucalyptus diversicolor small","Allocasuarina decussata small",-0.027390415931791,0.89650039288132,0.809834078829433,0.865584441357188,0.897928840433446,0.925286093575863,0.979958206513764,"Dawson","small","small","small_small","Eucalyptus diversicolor","Allocasuarina decussata","between","between_species_small_small","Eucalyptus diversicolor small_Allocasuarina decussata small",0.0682193188440422,NA,-0.16031673367052,0.107098082297835,0.267414815968355
"51",51,"Eucalyptus diversicolor large","Allocasuarina decussata small",-0.0126084360454543,0.953010486452812,0.916874181946866,0.940166640777012,0.953478831820811,0.963202809804109,0.989695445402236,"Dawson","large","small","large_small","Eucalyptus diversicolor","Allocasuarina decussata","between","between_species_large_small","Eucalyptus diversicolor large_Allocasuarina decussata small",0.0861675996769731,NA,-0.184089468432204,0.15368131557006,0.337770784002265
"52",52,"Allocasuarina decussata large","Eucalyptus diversicolor small",-0.00764578505647712,0.984564653237745,0.950202005004195,0.982835585655825,0.986098769279415,0.987595489385713,0.997310473431623,"Dawson","large","small","large_small","Allocasuarina decussata","Eucalyptus diversicolor","between","between_species_large_small","Allocasuarina decussata large_Eucalyptus diversicolor small",0.106605807629528,NA,-0.215791608883486,0.202095478109875,0.417887086993361
"53",53,"Eucalyptus diversicolor small","Eucalyptus diversicolor large",0.0614624640338005,1.33598467749336,1.05392680183515,1.17028245685156,1.28185152824355,1.49478634246942,1.891492700657,"Dawson","small","large","large_small","Eucalyptus diversicolor","Eucalyptus diversicolor","within","within_species_large_small","Eucalyptus diversicolor small_Eucalyptus diversicolor large",0.0919777293264301,NA,-0.117218800797801,0.243327272921352,0.360546073719153
"54",54,"Allocasuarina decussata small","Allocasuarina decussata large",0.0779923841309225,1.77953525253167,1.22969982463153,1.58288270557863,1.71798985652285,2.01005659279246,2.54679979104612,"Dawson","small","large","large_small","Allocasuarina decussata","Allocasuarina decussata","within","within_species_large_small","Allocasuarina decussata small_Allocasuarina decussata large",0.116319820069641,NA,-0.150203248576322,0.305762067473027,0.45596531604935
"55",55,"Eucalyptus diversicolor small","Eucalyptus diversicolor small",0.182106393208751,2.33989623652234,1.23390402189208,1.88835653059457,2.27361574035944,2.68975210528501,3.97979229956591,"Dawson","small","small","small_small","Eucalyptus diversicolor","Eucalyptus diversicolor","within","within_species_small_small","Eucalyptus diversicolor small_Eucalyptus diversicolor small",0.0956490557212562,NA,-0.00476275606835935,0.370174652669494,0.374937408737854
"56",56,"Allocasuarina decussata small","Allocasuarina decussata small",0.222068452791509,4.15018099217054,1.54964296201365,2.79975099563164,4.01693108278547,4.52920766426845,9.06056461375076,"Dawson","small","small","small_small","Allocasuarina decussata","Allocasuarina decussata","within","within_species_small_small","Allocasuarina decussata small_Allocasuarina decussata small",0.0954932446426662,1,0.0424625683156758,0.416789208848672,0.374326640532996
"57",57,"Allocasuarina decussata large","Allocasuarina decussata large",0.222190798507734,2.447108404892,1.36863243485391,1.5340903160854,1.70727769431929,2.91952093739372,4.87045419234474,"Dawson","large","large","large_large","Allocasuarina decussata","Allocasuarina decussata","within","within_species_large_large","Allocasuarina decussata large_Allocasuarina decussata large",0.193127407939507,NA,-0.163128911008035,0.593916616969983,0.757045527978018
"58",58,"Eucalyptus diversicolor large","Eucalyptus diversicolor large",-0.979408234333753,0.0718373072183748,0.0152416228930301,0.0290429211783547,0.0489113135926211,0.110081251075463,0.229982827050089,"Carey","large","large","large_large","Eucalyptus diversicolor","Eucalyptus diversicolor","within","within_species_large_large","Eucalyptus diversicolor large_Eucalyptus diversicolor large",0.492074355819616,1,-1.94326243714227,-0.0143664068978823,1.92889603024439
"59",59,"Eucalyptus diversicolor small","Trymalium odoratissimum small",-0.0715947448715478,0.82078415824751,0.519818719870108,0.743117197013855,0.845705826848447,0.899628944416516,0.972750767388164,"Carey","small","small","small_small","Eucalyptus diversicolor","Trymalium odoratissimum","between","between_species_small_small","Eucalyptus diversicolor small_Trymalium odoratissimum small",0.0651390455721653,NA,-0.199439231668527,0.0559011349489879,0.255340366617514
"60",60,"Eucalyptus diversicolor large","Trymalium odoratissimum small",-0.0240420385928749,0.933340024610488,0.883970776205431,0.922796713973431,0.934426461605859,0.939489177718767,0.97654977221795,"Carey","large","small","large_small","Eucalyptus diversicolor","Trymalium odoratissimum","between","between_species_large_small","Eucalyptus diversicolor large_Trymalium odoratissimum small",0.16615830188634,NA,-0.35049150406822,0.300837070790901,0.65132857485912
